date,round,surface,court,draw_size,level,age_1,atp_ranking_1,atp_points_1,hand_1,height_1,ratio_avg_1,ratio_prev_1,ratio_common_1,ace_avg_1,df_avg_1,svpt_avg_1,first_in_avg_1,first_won_avg_1,second_won_avg_1,sv_gms_avg_1,bp_saved_avg_1,bp_faced_avg_1,ace_prev_1,df_prev_1,svpt_prev_1,first_in_prev_1,first_won_prev_1,second_won_prev_1,sv_gms_prev_1,bp_saved_prev_1,bp_faced_prev_1,ace_common_1,df_common_1,svpt_common_1,first_in_common_1,first_won_common_1,second_won_common_1,sv_gms_common_1,bp_saved_common_1,bp_faced_common_1,age_2,atp_ranking_2,atp_points_2,hand_2,height_2,ratio_avg_2,ratio_prev_2,ratio_common_2,ace_avg_2,df_avg_2,svpt_avg_2,first_in_avg_2,first_won_avg_2,second_won_avg_2,sv_gms_avg_2,bp_saved_avg_2,bp_faced_avg_2,ace_prev_2,df_prev_2,svpt_prev_2,first_in_prev_2,first_won_prev_2,second_won_prev_2,sv_gms_prev_2,bp_saved_prev_2,bp_faced_prev_2,ace_common_2,df_common_2,svpt_common_2,first_in_common_2,first_won_common_2,second_won_common_2,sv_gms_common_2,bp_saved_common_2,bp_faced_common_2,odd_avg_1,odd_avg_2,odd_max_1,odd_max_2
2004/1/10,F,Hard,Outdoor,32,International,27.7563312799,,,R,185,0.5968992248062015,1.0,0.5783132530120482,7.17948717948718,3.982905982905983,81.7948717948718,46.47008547008547,34.14529914529915,17.735042735042736,12.820512820512821,4.222222222222222,6.923076923076923,4.5,1.5,52.0,28.0,23.5,15.0,9.5,2.0,3.0,,,,,,,,,,24.7994524298,,,R,193,0.0,0.0,0.5352112676056338,12.523489932885907,3.2348993288590604,82.91275167785236,46.604026845637584,36.14093959731544,19.0,13.033557046979865,3.5167785234899327,5.4630872483221475,4.0,6.0,62.0,29.0,21.5,13.5,9.5,3.0,6.5,,,,,,,,,,1.67,2.25,1.6283333333333332,2.1999999999999997
2004/1/10,SF,Hard,Outdoor,32,International,26.0013689254,,,R,183,0.48484848484848486,0.0,0.4084507042253521,5.222929936305732,4.229299363057325,79.21656050955414,45.15923566878981,31.94267515923567,16.770700636942674,12.235668789808917,4.337579617834395,7.420382165605096,2.0,6.0,63.0,32.0,17.0,9.0,11.0,2.0,9.0,,,,,,,,,,22.4531143053,,,L,185,0.007518796992481203,1.0,0.5333333333333333,2.908333333333333,2.2416666666666667,78.24166666666666,51.1,33.81666666666667,13.791666666666666,12.108333333333333,4.633333333333334,7.766666666666667,2.0,3.0,90.0,63.0,37.0,11.0,11.0,13.0,19.0,,,,,,,,,,2.15,1.7,2.1166666666666667,1.679
2004/1/10,SF,Hard,Outdoor,32,International,23.6331279945,,,L,190,0.3448275862068966,1.0,0.21052631578947367,7.473684210526316,5.2631578947368425,82.9298245614035,49.26315789473684,35.35087719298246,15.947368421052632,12.771929824561404,4.4035087719298245,7.473684210526316,,,,,,,,,,8.210526315789474,6.0,87.94736842105263,53.526315789473685,37.94736842105263,15.947368421052632,13.368421052631579,4.842105263157895,8.368421052631579,22.6995208761,,,R,188,0.0,0.0,0.6071428571428571,7.73469387755102,5.448979591836735,76.58163265306122,43.47959183673469,32.857142857142854,16.918367346938776,12.142857142857142,3.63265306122449,5.959183673469388,,,,,,,,,,8.107142857142858,5.464285714285714,79.35714285714286,45.607142857142854,33.82142857142857,17.285714285714285,12.714285714285714,3.5714285714285716,6.142857142857143,2.85,1.43,2.7800000000000002,1.3876666666666664
2004/1/10,SF,Hard,Outdoor,32,International,27.356605065,,,R,190,0.6912442396313364,0.5,0.6549295774647887,5.873170731707317,2.658536585365854,81.04878048780488,46.57560975609756,34.35609756097561,18.10731707317073,12.61951219512195,4.0634146341463415,6.317073170731708,,,,,,,,,,,,,,,,,,,27.3237508556,,,R,193,0.005050505050505051,0.5,0.5244755244755245,3.3532608695652173,2.875,77.82065217391305,50.54347826086956,34.96739130434783,14.244565217391305,12.353260869565217,3.6032608695652173,6.309782608695652,,,,,,,,,,,,,,,,,,,1.615,2.45,1.5716666666666665,2.3000000000000003
2004/1/10,SF,Hard,Outdoor,32,International,24.5612594114,,,R,185,0.6166666666666667,1.0,0.5428571428571428,6.29559748427673,3.5786163522012577,76.73584905660377,42.716981132075475,31.72327044025157,17.836477987421382,12.270440251572326,3.6540880503144653,6.10062893081761,3.0,4.0,102.0,57.0,43.0,23.0,15.0,8.0,10.0,,,,,,,,,,21.6810403833,,,R,180,0.0,0.0,0.5779816513761468,2.8806818181818183,3.039772727272727,78.5909090909091,52.84090909090909,35.44318181818182,12.943181818181818,12.198863636363637,3.965909090909091,6.931818181818182,2.0,1.0,83.0,65.0,40.0,11.0,14.0,3.0,8.0,,,,,,,,,,1.48,2.75,1.4433333333333334,2.643333333333333
2004/1/11,F,Hard,Outdoor,32,International,26.0013689254,,,R,183,0.4879518072289157,0.0,0.4262295081967213,5.2025316455696204,4.208860759493671,79.08227848101266,45.164556962025316,31.962025316455698,16.68354430379747,12.215189873417721,4.3354430379746836,7.405063291139241,1.0,4.0,73.0,39.0,28.0,16.0,10.0,5.0,7.0,,,,,,,,,,23.6331279945,,,L,190,0.01694915254237288,1.0,0.2777777777777778,7.431034482758621,5.189655172413793,82.5,49.12068965517241,35.310344827586206,15.810344827586206,12.741379310344827,4.362068965517241,7.413793103448276,7.0,2.0,65.0,32.0,28.0,20.0,11.0,2.0,3.0,7.611111111111111,5.694444444444445,84.61111111111111,50.638888888888886,36.25,15.86111111111111,12.88888888888889,4.444444444444445,7.638888888888889,1.727,2.15,1.6823333333333335,2.15
2004/1/11,R32,Hard,Outdoor,32,International,25.7303216975,49.0,736.0,R,183,0.43902439024390244,0.0,0.3492063492063492,2.2479338842975207,2.6198347107438016,74.74380165289256,45.21487603305785,29.31404958677686,14.190082644628099,11.239669421487603,4.801652892561983,8.37190082644628,5.0,4.0,97.0,50.0,37.0,16.0,14.0,5.0,10.0,,,,,,,,,,26.6091718001,61.0,545.0,R,190,0.006134969325153374,1.0,0.4507042253521127,10.642857142857142,3.227272727272727,77.62337662337663,43.22077922077922,32.76623376623377,17.045454545454547,11.987012987012987,4.305194805194805,6.532467532467533,13.0,4.0,99.0,51.0,42.0,25.0,14.0,5.0,6.0,,,,,,,,,,2.0,2.0,2.0,2.0
2004/1/11,F,Hard,Outdoor,32,International,27.356605065,,,R,190,0.6926605504587156,1.0,0.6589147286821705,5.912621359223301,2.650485436893204,80.87378640776699,46.50485436893204,34.33980582524272,18.063106796116504,12.606796116504855,4.043689320388349,6.286407766990291,5.0,2.0,57.0,29.0,23.0,17.0,9.0,4.0,4.0,,,,,,,,,,24.5612594114,,,R,185,0.0,0.0,0.575,6.28125,3.575,76.86875,42.8375,31.83125,17.85,12.2875,3.68125,6.125,3.0,1.0,56.0,27.0,17.0,16.0,9.0,3.0,6.0,,,,,,,,,,1.85,2.1,1.739,2.033333333333333
2004/1/12,R32,Hard,Outdoor,32,International,19.6084873374,172.0,213.0,R,180,0.2222222222222222,0.0,0.2,3.4285714285714284,2.4285714285714284,79.42857142857143,54.0,33.42857142857143,11.714285714285714,12.0,5.428571428571429,9.285714285714286,,,,,,,,,,,,,,,,,,,24.257357974,12.0,1559.0,R,183,0.0,0.0,0.25,4.716312056737588,2.921985815602837,76.31205673758865,44.297872340425535,30.79432624113475,15.851063829787234,11.73758865248227,4.446808510638298,7.347517730496454,,,,,,,,,,5.5,4.75,83.5,48.0,32.375,15.625,11.875,4.25,7.625,2.0,2.0,2.0,2.0
2004/1/12,R32,Hard,Outdoor,32,International,30.3490759754,112.0,362.0,L,193,0.6148148148148148,0.0,0.5735294117647058,11.31496062992126,3.8346456692913384,79.97637795275591,47.89763779527559,38.1496062992126,17.322834645669293,13.118110236220472,3.3149606299212597,4.929133858267717,,,,,,,,,,,,,,,,,,,24.3696098563,40.0,915.0,R,190,0.0,0.0,0.5384615384615384,4.45945945945946,3.668918918918919,75.6554054054054,42.8445945945946,30.58783783783784,16.574324324324323,12.006756756756756,3.695945945945946,6.628378378378378,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0
