tourney_order_x,match_id_x,match_stats_url_suffix,match_time,match_duration,winner_aces,winner_double_faults,winner_first_serves_in,winner_first_serves_total,winner_first_serve_points_won,winner_first_serve_points_total,winner_second_serve_points_won,winner_second_serve_points_total,winner_break_points_saved,winner_break_points_serve_total,winner_service_points_won,winner_service_points_total,winner_first_serve_return_won,winner_first_serve_return_total,winner_second_serve_return_won,winner_second_serve_return_total,winner_break_points_converted,winner_break_points_return_total,winner_service_games_played,winner_return_games_played,winner_return_points_won,winner_return_points_total,winner_total_points_won,winner_total_points_total,loser_aces,loser_double_faults,loser_first_serves_in,loser_first_serves_total,loser_first_serve_points_won,loser_first_serve_points_total,loser_second_serve_points_won,loser_second_serve_points_total,loser_break_points_saved,loser_break_points_serve_total,loser_service_points_won,loser_service_points_total,loser_first_serve_return_won,loser_first_serve_return_total,loser_second_serve_return_won,loser_second_serve_return_total,loser_break_points_converted,loser_break_points_return_total,loser_service_games_played,loser_return_games_played,loser_return_points_won,loser_return_points_total,loser_total_points_won,loser_total_points_total,tourney_year_id_x,tourney_order_y,tourney_slug_x,tourney_url_suffix,tourney_round_name,round_order,match_order,winner_name,winner_player_id,winner_slug,loser_name,loser_player_id,loser_slug,winner_seed,loser_seed,match_score_tiebreaks,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,winner_tiebreaks_won,loser_tiebreaks_won,match_id_y,player_id,player_slug,first_name,last_name,player_url,flag_code,residence,birthplace,birthdate,birth_year,birth_month,birth_day,turned_pro,weight_lbs,weight_kg,height_ft,height_inches,height_cm,handedness,backhand,player_id_loser,player_slug_loser,first_name_loser,last_name_loser,player_url_loser,flag_code_loser,residence_loser,birthplace_loser,birthdate_loser,birth_year_loser,birth_month_loser,birth_day_loser,turned_pro_loser,weight_lbs_loser,weight_kg_loser,height_ft_loser,height_inches_loser,height_cm_loser,handedness_loser,backhand_loser,tourney_year,tourney_order,tourney_name,tourney_id,tourney_slug_y,tourney_location,tourney_dates,tourney_month,tourney_day,tourney_singles_draw,tourney_doubles_draw,tourney_conditions,tourney_surface,tourney_fin_commit,singles_winner_name,singles_winner_url,singles_winner_player_slug,singles_winner_player_id,doubles_winner_1_name,doubles_winner_1_url,doubles_winner_1_player_slug,doubles_winner_1_player_id,doubles_winner_2_name,doubles_winner_2_url,doubles_winner_2_player_slug,doubles_winner_2_player_id,tourney_year_id_y,week_year,week_month,week_day,age,age_loser
0,2019-451-bd06-ba47,/en/scores/2019/451/MS001/match-stats?isLive=False,01:55:34,115,5,0,60,85,43,60,16,25,5,6,59,85,12,51,15,31,2,8,14,14,27,82,86,167,3,3,51,82,39,51,16,31,6,8,55,82,17,60,9,25,1,6,14,14,26,85,81,167,2019-451,1,doha,/en/scores/archive/doha/451/2019/results,Final,1,1,Roberto Bautista Agut,bd06,roberto-bautista-agut,Tomas Berdych,ba47,tomas-berdych,7,W,64 36 63,2,1,15,13,0,0,2019-451-bd06-ba47,bd06,roberto-bautista-agut,Roberto,Bautista Agut,http://www.atpworldtour.com/en/players/roberto-bautista-agut/bd06/overview,ESP,"Castellon de la Plana, Spain","Castellon de la Plana, Spain",1988.04.14,1988.0,4.0,14.0,2005.0,168.0,76.0,"6'0""",72.0,183.0,Right-Handed,Two-Handed Backhand,ba47,tomas-berdych,Tomas,Berdych,http://www.atpworldtour.com/en/players/tomas-berdych/ba47/overview,CZE,"Monte Carlo, Monaco","Valasske Mezirici, CZE",1985.09.17,1985.0,9.0,17.0,2002.0,200.0,91.0,"6'5""",77.0,196.0,Right-Handed,Two-Handed Backhand,2018,1,Qatar ExxonMobil Open,451.0,doha,"b'Doha, Qatar'",2018.12.31,12,31,32,32,Outdoor,Hard,"b'$1,416,205'",Roberto Bautista Agut,/en/players/roberto-bautista-agut/bd06/overview,roberto-bautista-agut,bd06,David Goffin,/en/players/david-goffin/gb88/overview,david-goffin,gb88,Pierre-Hugues Herbert,/en/players/pierre-hugues-herbert/h996/overview,pierre-hugues-herbert,h996,2019-451,2018.0,12.0,31.0,30.713210130047912,33.28678986995209
0,2019-451-d643-bd06,/en/scores/2019/451/MS002/match-stats?isLive=False,02:35:31,155,9,3,72,114,48,72,27,42,6,8,75,114,14,66,11,22,2,4,16,15,25,88,100,202,7,0,66,88,52,66,11,22,2,4,63,88,24,72,15,42,2,8,15,16,39,114,102,202,2019-451,1,doha,/en/scores/archive/doha/451/2019/results,Semifinals,2,1,Roberto Bautista Agut,bd06,roberto-bautista-agut,Novak Djokovic,d643,novak-djokovic,7,1,36 76(6) 64,2,1,16,16,1,0,2019-451-bd06-d643,bd06,roberto-bautista-agut,Roberto,Bautista Agut,http://www.atpworldtour.com/en/players/roberto-bautista-agut/bd06/overview,ESP,"Castellon de la Plana, Spain","Castellon de la Plana, Spain",1988.04.14,1988.0,4.0,14.0,2005.0,168.0,76.0,"6'0""",72.0,183.0,Right-Handed,Two-Handed Backhand,d643,novak-djokovic,Novak,Djokovic,http://www.atpworldtour.com/en/players/novak-djokovic/d643/overview,SRB,"Monte Carlo, Monaco","Belgrade, Serbia",1987.05.22,1987.0,5.0,22.0,2003.0,170.0,77.0,"6'2""",74.0,188.0,Right-Handed,Two-Handed Backhand,2018,1,Qatar ExxonMobil Open,451.0,doha,"b'Doha, Qatar'",2018.12.31,12,31,32,32,Outdoor,Hard,"b'$1,416,205'",Roberto Bautista Agut,/en/players/roberto-bautista-agut/bd06/overview,roberto-bautista-agut,bd06,David Goffin,/en/players/david-goffin/gb88/overview,david-goffin,gb88,Pierre-Hugues Herbert,/en/players/pierre-hugues-herbert/h996/overview,pierre-hugues-herbert,h996,2019-451,2018.0,12.0,31.0,30.713210130047912,31.61122518822724
0,2019-451-w367-bd06,/en/scores/2019/451/MS005/match-stats?isLive=False,01:45:01,105,7,0,51,86,32,51,18,35,12,14,50,86,14,53,9,17,0,3,10,10,23,70,73,156,2,1,53,70,39,53,8,17,3,3,47,70,19,51,17,35,2,14,10,10,36,86,83,156,2019-451,1,doha,/en/scores/archive/doha/451/2019/results,Quarterfinals,3,3,Roberto Bautista Agut,bd06,roberto-bautista-agut,Stan Wawrinka,w367,stan-wawrinka,7,,64 64,2,0,12,8,0,0,2019-451-bd06-w367,bd06,roberto-bautista-agut,Roberto,Bautista Agut,http://www.atpworldtour.com/en/players/roberto-bautista-agut/bd06/overview,ESP,"Castellon de la Plana, Spain","Castellon de la Plana, Spain",1988.04.14,1988.0,4.0,14.0,2005.0,168.0,76.0,"6'0""",72.0,183.0,Right-Handed,Two-Handed Backhand,w367,stan-wawrinka,Stan,Wawrinka,http://www.atpworldtour.com/en/players/stan-wawrinka/w367/overview,SUI,"St. Barthelemy, Switzerland","Lausanne, Switzerland",1985.03.28,1985.0,3.0,28.0,2002.0,179.0,81.0,"6'0""",72.0,183.0,Right-Handed,One-Handed Backhand,2018,1,Qatar ExxonMobil Open,451.0,doha,"b'Doha, Qatar'",2018.12.31,12,31,32,32,Outdoor,Hard,"b'$1,416,205'",Roberto Bautista Agut,/en/players/roberto-bautista-agut/bd06/overview,roberto-bautista-agut,bd06,David Goffin,/en/players/david-goffin/gb88/overview,david-goffin,gb88,Pierre-Hugues Herbert,/en/players/pierre-hugues-herbert/h996/overview,pierre-hugues-herbert,h996,2019-451,2018.0,12.0,31.0,30.713210130047912,33.76043805612594
0,2019-451-g476-bd06,/en/scores/2019/451/MS011/match-stats?isLive=False,01:10:16,70,2,4,32,49,20,32,3,17,3,7,23,49,8,33,5,16,1,4,8,9,13,49,36,98,2,0,33,49,25,33,11,16,3,4,36,49,12,32,14,17,4,7,9,8,26,49,62,98,2019-451,1,doha,/en/scores/archive/doha/451/2019/results,Round of 16,4,4,Roberto Bautista Agut,bd06,roberto-bautista-agut,Guillermo Garcia-Lopez,g476,guillermo-garcia-lopez,7,Q,61 64,2,0,12,5,0,0,2019-451-bd06-g476,bd06,roberto-bautista-agut,Roberto,Bautista Agut,http://www.atpworldtour.com/en/players/roberto-bautista-agut/bd06/overview,ESP,"Castellon de la Plana, Spain","Castellon de la Plana, Spain",1988.04.14,1988.0,4.0,14.0,2005.0,168.0,76.0,"6'0""",72.0,183.0,Right-Handed,Two-Handed Backhand,g476,guillermo-garcia-lopez,Guillermo,Garcia-Lopez,http://www.atpworldtour.com/en/players/guillermo-garcia-lopez/g476/overview,ESP,"La Roda (Albacete), Spain","La Roda (Albacete), Spain",1983.06.04,1983.0,6.0,4.0,2002.0,176.0,80.0,"6'1""",73.0,185.0,Right-Handed,One-Handed Backhand,2018,1,Qatar ExxonMobil Open,451.0,doha,"b'Doha, Qatar'",2018.12.31,12,31,32,32,Outdoor,Hard,"b'$1,416,205'",Roberto Bautista Agut,/en/players/roberto-bautista-agut/bd06/overview,roberto-bautista-agut,bd06,David Goffin,/en/players/david-goffin/gb88/overview,david-goffin,gb88,Pierre-Hugues Herbert,/en/players/pierre-hugues-herbert/h996/overview,pierre-hugues-herbert,h996,2019-451,2018.0,12.0,31.0,30.713210130047912,35.57563312799452
0,2019-451-cf01-ba47,/en/scores/2019/451/MS003/match-stats?isLive=False,01:29:54,89,5,4,51,82,33,51,17,31,7,9,50,82,10,41,5,23,1,3,10,11,15,64,65,146,12,0,41,64,31,41,18,23,2,3,49,64,18,51,14,31,2,9,11,10,32,82,81,146,2019-451,1,doha,/en/scores/archive/doha/451/2019/results,Semifinals,2,2,Tomas Berdych,ba47,tomas-berdych,Marco Cecchinato,cf01,marco-cecchinato,W,4,76(6) 63,2,0,13,9,1,0,2019-451-ba47-cf01,ba47,tomas-berdych,Tomas,Berdych,http://www.atpworldtour.com/en/players/tomas-berdych/ba47/overview,CZE,"Monte Carlo, Monaco","Valasske Mezirici, CZE",1985.09.17,1985.0,9.0,17.0,2002.0,200.0,91.0,"6'5""",77.0,196.0,Right-Handed,Two-Handed Backhand,cf01,marco-cecchinato,Marco,Cecchinato,http://www.atpworldtour.com/en/players/marco-cecchinato/cf01/overview,ITA,"Palermo, Italy","Palermo, Italy",1992.09.30,1992.0,9.0,30.0,2010.0,172.0,78.0,"6'1""",73.0,185.0,Right-Handed,One-Handed Backhand,2018,1,Qatar ExxonMobil Open,451.0,doha,"b'Doha, Qatar'",2018.12.31,12,31,32,32,Outdoor,Hard,"b'$1,416,205'",Roberto Bautista Agut,/en/players/roberto-bautista-agut/bd06/overview,roberto-bautista-agut,bd06,David Goffin,/en/players/david-goffin/gb88/overview,david-goffin,gb88,Pierre-Hugues Herbert,/en/players/pierre-hugues-herbert/h996/overview,pierre-hugues-herbert,h996,2019-451,2018.0,12.0,31.0,33.28678986995209,26.250513347022586
0,2019-451-ba47-h996,/en/scores/2019/451/MS007/match-stats?isLive=False,01:11:00,71,6,0,32,48,29,32,8,16,2,2,37,48,17,44,11,22,3,6,9,9,28,66,65,114,5,2,44,66,27,44,11,22,3,6,38,66,3,32,8,16,0,2,9,9,11,48,49,114,2019-451,1,doha,/en/scores/archive/doha/451/2019/results,Quarterfinals,3,4,Tomas Berdych,ba47,tomas-berdych,Pierre-Hugues Herbert,h996,pierre-hugues-herbert,W,,62 64,2,0,12,6,0,0,2019-451-ba47-h996,ba47,tomas-berdych,Tomas,Berdych,http://www.atpworldtour.com/en/players/tomas-berdych/ba47/overview,CZE,"Monte Carlo, Monaco","Valasske Mezirici, CZE",1985.09.17,1985.0,9.0,17.0,2002.0,200.0,91.0,"6'5""",77.0,196.0,Right-Handed,Two-Handed Backhand,h996,pierre-hugues-herbert,Pierre-Hugues,Herbert,http://www.atpworldtour.com/en/players/pierre-hugues-herbert/h996/overview,FRA,"Develier, Switzerland","Schiltigheim, France",1991.03.18,1991.0,3.0,18.0,2010.0,174.0,79.0,"6'2""",74.0,188.0,Right-Handed,Two-Handed Backhand,2018,1,Qatar ExxonMobil Open,451.0,doha,"b'Doha, Qatar'",2018.12.31,12,31,32,32,Outdoor,Hard,"b'$1,416,205'",Roberto Bautista Agut,/en/players/roberto-bautista-agut/bd06/overview,roberto-bautista-agut,bd06,David Goffin,/en/players/david-goffin/gb88/overview,david-goffin,gb88,Pierre-Hugues Herbert,/en/players/pierre-hugues-herbert/h996/overview,pierre-hugues-herbert,h996,2019-451,2018.0,12.0,31.0,33.28678986995209,27.789185489390828
0,2019-451-v306-ba47,/en/scores/2019/451/MS014/match-stats?isLive=False,02:13:33,133,9,3,75,113,50,75,16,38,10,14,66,113,15,59,15,30,3,5,15,16,30,89,96,202,3,2,59,89,44,59,15,30,2,5,59,89,25,75,22,38,4,14,16,15,47,113,106,202,2019-451,1,doha,/en/scores/archive/doha/451/2019/results,Round of 16,4,5,Tomas Berdych,ba47,tomas-berdych,Fernando Verdasco,v306,fernando-verdasco,W,8,46 63 75,2,1,17,14,0,0,2019-451-ba47-v306,ba47,tomas-berdych,Tomas,Berdych,http://www.atpworldtour.com/en/players/tomas-berdych/ba47/overview,CZE,"Monte Carlo, Monaco","Valasske Mezirici, CZE",1985.09.17,1985.0,9.0,17.0,2002.0,200.0,91.0,"6'5""",77.0,196.0,Right-Handed,Two-Handed Backhand,v306,fernando-verdasco,Fernando,Verdasco,http://www.atpworldtour.com/en/players/fernando-verdasco/v306/overview,ESP,"Doha, Qatar","Madrid, Spain",1983.11.15,1983.0,11.0,15.0,2001.0,192.0,87.0,"6'1""",73.0,185.0,Left-Handed,Two-Handed Backhand,2018,1,Qatar ExxonMobil Open,451.0,doha,"b'Doha, Qatar'",2018.12.31,12,31,32,32,Outdoor,Hard,"b'$1,416,205'",Roberto Bautista Agut,/en/players/roberto-bautista-agut/bd06/overview,roberto-bautista-agut,bd06,David Goffin,/en/players/david-goffin/gb88/overview,david-goffin,gb88,Pierre-Hugues Herbert,/en/players/pierre-hugues-herbert/h996/overview,pierre-hugues-herbert,h996,2019-451,2018.0,12.0,31.0,33.28678986995209,35.12662559890486
0,2019-451-k435-ba47,/en/scores/2019/451/MS029/match-stats?isLive=False,01:42:16,102,3,4,42,73,33,42,14,31,2,4,47,73,10,43,13,30,1,2,11,11,23,73,70,146,6,1,43,73,33,43,17,30,1,2,50,73,9,42,17,31,2,4,11,11,26,73,76,146,2019-451,1,doha,/en/scores/archive/doha/451/2019/results,Round of 32,5,9,Tomas Berdych,ba47,tomas-berdych,Philipp Kohlschreiber,k435,philipp-kohlschreiber,W,,64 76(5),2,0,13,10,1,0,2019-451-ba47-k435,ba47,tomas-berdych,Tomas,Berdych,http://www.atpworldtour.com/en/players/tomas-berdych/ba47/overview,CZE,"Monte Carlo, Monaco","Valasske Mezirici, CZE",1985.09.17,1985.0,9.0,17.0,2002.0,200.0,91.0,"6'5""",77.0,196.0,Right-Handed,Two-Handed Backhand,k435,philipp-kohlschreiber,Philipp,Kohlschreiber,http://www.atpworldtour.com/en/players/philipp-kohlschreiber/k435/overview,GER,"Kitzbuehel, Austria","Augsburg, Germany",1983.10.16,1983.0,10.0,16.0,2001.0,154.0,70.0,"5'10""",70.0,178.0,Right-Handed,One-Handed Backhand,2018,1,Qatar ExxonMobil Open,451.0,doha,"b'Doha, Qatar'",2018.12.31,12,31,32,32,Outdoor,Hard,"b'$1,416,205'",Roberto Bautista Agut,/en/players/roberto-bautista-agut/bd06/overview,roberto-bautista-agut,bd06,David Goffin,/en/players/david-goffin/gb88/overview,david-goffin,gb88,Pierre-Hugues Herbert,/en/players/pierre-hugues-herbert/h996/overview,pierre-hugues-herbert,h996,2019-451,2018.0,12.0,31.0,33.28678986995209,35.20876112251882
0,2019-451-be67-bc65,/en/scores/2019/451/QS010/match-stats?isLive=False,01:08:31,68,1,1,29,51,21,29,14,22,0,1,35,51,15,37,15,27,4,12,9,9,30,64,65,115,5,3,37,64,22,37,12,27,8,12,34,64,8,29,8,22,1,1,9,9,16,51,50,115,2019-451,1,doha,/en/scores/archive/doha/451/2019/results,1st Round Qualifying,7,2,Mirza Basic,be67,mirza-basic,Matthias Bachinger,bc65,matthias-bachinger,2,,63 63,2,0,12,6,0,0,2019-451-be67-bc65,be67,mirza-basic,Mirza,Basic,http://www.atpworldtour.com/en/players/mirza-basic/be67/overview,BIH,Sarajevo,Sarajevo,1991.07.12,1991.0,7.0,12.0,2012.0,194.0,88.0,"6'2""",74.0,188.0,Right-Handed,Two-Handed Backhand,bc65,matthias-bachinger,Matthias,Bachinger,http://www.atpworldtour.com/en/players/matthias-bachinger/bc65/overview,GER,"Munich, Germany","Munich, Germany",1987.04.02,1987.0,4.0,2.0,2005.0,183.0,83.0,"6'2""",74.0,188.0,,,2018,1,Qatar ExxonMobil Open,451.0,doha,"b'Doha, Qatar'",2018.12.31,12,31,32,32,Outdoor,Hard,"b'$1,416,205'",Roberto Bautista Agut,/en/players/roberto-bautista-agut/bd06/overview,roberto-bautista-agut,bd06,David Goffin,/en/players/david-goffin/gb88/overview,david-goffin,gb88,Pierre-Hugues Herbert,/en/players/pierre-hugues-herbert/h996/overview,pierre-hugues-herbert,h996,2019-451,2018.0,12.0,31.0,27.471594798083505,31.748117727583846
0,2019-451-d643-bg23,/en/scores/2019/451/MS004/match-stats?isLive=False,01:56:11,116,7,3,57,86,41,57,15,29,3,6,56,86,15,54,16,28,4,7,15,14,31,82,87,168,4,3,54,82,39,54,12,28,3,7,51,82,16,57,14,29,3,6,14,15,30,86,81,168,2019-451,1,doha,/en/scores/archive/doha/451/2019/results,Quarterfinals,3,1,Novak Djokovic,d643,novak-djokovic,Nikoloz Basilashvili,bg23,nikoloz-basilashvili,1,5,46 63 64,2,1,16,13,0,0,2019-451-d643-bg23,d643,novak-djokovic,Novak,Djokovic,http://www.atpworldtour.com/en/players/novak-djokovic/d643/overview,SRB,"Monte Carlo, Monaco","Belgrade, Serbia",1987.05.22,1987.0,5.0,22.0,2003.0,170.0,77.0,"6'2""",74.0,188.0,Right-Handed,Two-Handed Backhand,bg23,nikoloz-basilashvili,Nikoloz,Basilashvili,http://www.atpworldtour.com/en/players/nikoloz-basilashvili/bg23/overview,GEO,"Tbilisi, Georgia","Tbilisi, Georgia",1992.02.23,1992.0,2.0,23.0,2008.0,174.0,79.0,"6'1""",73.0,185.0,Right-Handed,Two-Handed Backhand,2018,1,Qatar ExxonMobil Open,451.0,doha,"b'Doha, Qatar'",2018.12.31,12,31,32,32,Outdoor,Hard,"b'$1,416,205'",Roberto Bautista Agut,/en/players/roberto-bautista-agut/bd06/overview,roberto-bautista-agut,bd06,David Goffin,/en/players/david-goffin/gb88/overview,david-goffin,gb88,Pierre-Hugues Herbert,/en/players/pierre-hugues-herbert/h996/overview,pierre-hugues-herbert,h996,2019-451,2018.0,12.0,31.0,31.61122518822724,26.85284052019165
