ht,age,rank,rank_points,common_ratio,common_ace,common_df,common_1st_in,common_1st_win,common_2nd_win,common_serve_win,common_break_saved,common_break_lost,common_return_1st_win,common_return_2nd_win,common_ace_faced,common_break_win,common_points_win,avg_ratio,avg_ace,avg_df,avg_1st_in,avg_1st_win,avg_2nd_win,avg_serve_win,avg_break_saved,avg_break_lost,avg_return_1st_win,avg_return_2nd_win,avg_ace_faced,avg_break_win,avg_points_win,common_completeness,common_serve1_adv,common_serve2_adv,avg_completeness,avg_serve1_adv,avg_serve2_adv,outcome,name_1,name_2,date,level,B365_1,B365_2,EX_1,EX_2,LB_1,LB_2,PS_1,PS_2,Max_1,Max_2,Avg_1,Avg_2
,4.26557153,-100,331,0.332357419,-0.034062831,0.012525258,0.001083638,0.134335393,0.082446791,0.116535411,0.049269826,-0.252055363,-0.01563768,0.040282231,0.025878538,-0.013262537,0.060673113,0.332357419,-0.034062831,0.012525258,0.001083638,0.134335393,0.082446791,0.116535411,0.049269826,-0.252055363,-0.01563768,0.040282231,0.025878538,-0.013262537,0.060673113,0.101134634,0.118697713,0.122729021,0.101134634,0.118697713,0.122729021,1,Radu Albot,Gregoire Barrere,28/05/2018,G,2,1.8,2.05,1.69,2,1.8,2.12,1.81,2.18,1.91,2.06,1.77
-8,0.24366872,-84,944,0.179567622,-0.028031277,-0.007829249,0.055096392,-0.039598564,-0.000514283,-0.015902649,-0.031256301,0.053074164,0.082193269,0.029083794,-0.05297682,0.017229062,0.018714621,0.184206882,-0.028295377,-0.008408948,0.05624666,-0.039304788,-0.001379198,-0.01587239,-0.030254645,0.052936528,0.079185804,0.027944029,-0.051197116,0.016726987,0.017917839,0.054257931,0.042594705,0.028569511,0.051726445,0.039881016,0.026564831,1,Damir Dzumhur,Denis Kudla,28/05/2018,G,1.44,2.75,1.47,2.49,1.5,2.62,1.48,2.86,1.54,3.02,1.46,2.72
5,-0.65434634,-177,4550,0.406365267,0.028432302,0.012310801,-0.00191572,0.079808497,0.005578632,0.051608764,0.081710878,-0.09313682,0.000638444,0.001172853,0.012209824,-0.000301532,0.029050953,0.406365267,0.028432302,0.012310801,-0.00191572,0.079808497,0.005578632,0.051608764,0.081710878,-0.09313682,0.000638444,0.001172853,0.012209824,-0.000301532,0.029050953,0.041858698,0.080446941,0.006751485,0.041858698,0.080446941,0.006751485,1,Grigor Dimitrov,Mohamed Safwat,28/05/2018,G,,,,,,,,,1.03,25,1.02,19
,-0.99657769,-4,22,-0.157844379,-0.012772101,0.013599473,-0.105406099,0.00858266,-0.023242393,-0.025964354,-0.054819074,0.060854362,-0.005701237,0.045032698,0.029298999,0.006488438,-0.005141961,-0.157844379,-0.012772101,0.013599473,-0.105406099,0.00858266,-0.023242393,-0.025964354,-0.054819074,0.060854362,-0.005701237,0.045032698,0.029298999,0.006488438,-0.005141961,0.005812076,0.002881424,0.021790305,0.005812076,0.002881424,0.021790305,1,Jared Donaldson,Nicolas Jarry,28/05/2018,G,2.75,1.44,2.55,1.45,2.62,1.5,2.8,1.5,2.86,1.55,2.67,1.48
,12.08487337,-269,1054,-0.351431322,,,,,,,,,,,,,,-0.351431322,,,,,,,,,,,,,,,,,,,,1,Gael Monfils,Elliot Benchetrit,28/05/2018,G,1.16,5,1.13,5,1.14,5.5,1.2,5.24,1.2,6.13,1.17,5.18
,5.89185489,16,-133,0.134984,0.012281711,0.001143046,-0.01086219,0.004567417,-0.025947647,-0.009608563,-0.031534544,0.025189328,0.039049746,0.010508515,0.017724824,0.016494674,0.011101393,0.104106121,0.008236134,0.001700462,-0.013423628,0.001892056,-0.031689424,-0.013936442,-0.032318116,0.030067104,0.038385231,0.00333753,0.019752101,0.016194032,0.007517948,0.022929353,0.043617163,-0.015439131,0.01477755,0.040277287,-0.028351894,1,Martin Klizan,Laslo Djere,28/05/2018,G,1.5,2.62,1.48,2.46,1.53,2.5,1.46,2.95,1.57,2.95,1.51,2.58
,1.31690623,-135,2032,0.206151183,0.006827903,-0.004490784,0.025778976,0.022124157,0.001259278,0.018297565,-0.031225104,-0.014096072,0.011779376,0.029416974,0.001503616,0.008103473,0.01791656,0.206151183,0.006827903,-0.004490784,0.025778976,0.022124157,0.001259278,0.018297565,-0.031225104,-0.014096072,0.011779376,0.029416974,0.001503616,0.008103473,0.01791656,0.040060952,0.033903533,0.030676253,0.040060952,0.033903533,0.030676253,1,Pablo Carreno Busta,Jozef Kovalik,28/05/2018,G,1.16,5,1.16,4.7,1.17,5,1.19,5.42,1.22,5.8,1.17,5.13
,6.80355921,-286,1545,-0.270751144,,,,,,,,,,,,,,-0.270751144,,,,,,,,,,,,,,,,,,,,1,Kei Nishikori,Maxime Janvier,28/05/2018,G,1.04,13,1.03,9.4,1.05,10,1.04,15.08,1.06,15.72,1.03,12.49
,-20.13689254,49,-267,-0.348775642,-0.21201879,0.009717308,-0.002499659,-0.24119104,-0.100426344,-0.193355465,-0.144584389,0.30209366,0.110284371,0.119842578,-0.042030215,0.020070229,-0.036422963,-0.220043399,-0.201883696,0.013955555,0.001786219,-0.194260705,-0.075292296,-0.153198068,-0.117726475,0.225043174,0.076541282,0.088330004,-0.003912559,0.016290279,-0.031968275,0.006483366,-0.130906669,0.019416234,0.00256368,-0.117719424,0.013037708,1,Corentin Moutet,Ivo Karlovic,28/05/2018,G,2.1,1.72,2.14,1.63,2.1,1.73,2.27,1.71,2.3,1.77,2.18,1.69
,11.86584531,-231,1073,0.127542008,0.039483193,0.019243025,0.040060167,0.072819208,-0.018857962,0.046705714,0.032999569,-0.081460741,0.044991496,-0.020728581,-0.052353463,-0.001477379,0.025493822,0.127542008,0.039483193,0.019243025,0.040060167,0.072819208,-0.018857962,0.046705714,0.032999569,-0.081460741,0.044991496,-0.020728581,-0.052353463,-0.001477379,0.025493822,0.052843714,0.117810704,-0.039586543,0.052843714,0.117810704,-0.039586543,1,Fernando Verdasco,Yoshihito Nishioka,28/05/2018,G,1.25,4,1.25,3.6,1.25,4,1.25,4.46,1.29,4.55,1.25,4.05
,-2.74058864,-60,288,-0.715072368,,,,,,,,,,,,,,-0.715072368,,,,,,,,,,,,,,,,,,,,1,Matteo Berrettini,Oscar Otte,28/05/2018,G,1.61,2.3,1.59,2.22,1.61,2.25,1.65,2.4,1.69,2.4,1.63,2.3
,1.96577686,-37,1056,0.07704435,0.006681039,-0.00233237,-0.040259554,0.027191512,0.019659329,0.015428622,-0.009347782,-0.008397004,-0.004127331,0.011294332,0.018417443,0.000858884,0.00820769,0.094101377,0.006485014,-0.002272645,-0.040607036,0.027629438,0.021010886,0.01615513,-0.006552353,-0.012002782,-0.002376218,0.012346965,0.016869704,0.001360135,0.009253702,0.016520788,0.023064181,0.030953661,0.018837844,0.02525322,0.033357851,1,Lucas Pouille,Daniil Medvedev,28/05/2018,G,1.2,4.5,1.2,4.1,1.22,4.33,1.22,4.85,1.3,4.85,1.22,4.37
,6.23134839,40,-343,-0.198153735,-0.033952463,0.022902752,0.024012604,0.000820606,0.006847158,0.008287,-0.031932987,0.010542397,-0.019184333,0.004881202,-0.022134658,-0.007541888,-0.016531212,-0.198153735,-0.033952463,0.022902752,0.024012604,0.000820606,0.006847158,0.008287,-0.031932987,0.010542397,-0.019184333,0.004881202,-0.022134658,-0.007541888,-0.016531212,-0.002934943,-0.018363727,0.01172836,-0.002934943,-0.018363727,0.01172836,1,Guido Andreozzi,Taylor Harry Fritz,28/05/2018,G,1.5,2.62,1.49,2.46,1.53,2.5,1.54,2.66,1.57,2.66,1.51,2.57
23,-6.83093771,-99,5021,0.264036682,0.035351038,0.003309567,0.060974934,0.025445687,0.005226228,0.028969315,0.016218043,-0.057489201,0.041491522,0.021742528,-0.038754091,0.009725186,0.027811009,0.264036682,0.035351038,0.003309567,0.060974934,0.025445687,0.005226228,0.028969315,0.016218043,-0.057489201,0.041491522,0.021742528,-0.038754091,0.009725186,0.027811009,0.062736156,0.066937208,0.026968756,0.062736156,0.066937208,0.026968756,1,Alexander Zverev,Ricardas Berankis,28/05/2018,G,1.01,21,1.01,11,1.01,21,1.01,25.99,1.03,28.5,1.01,20.11
-27,-3.6714579,-35,1865,0.187508771,-0.007982675,0.006576159,-0.015848922,0.001598585,0.016164694,0.004215273,0.013157943,-0.002305295,0.025350155,0.047928559,0.008687517,0.010070951,0.019151274,0.192635877,-0.008131568,0.006806602,-0.01527243,0.002934157,0.016460288,0.005239769,0.018082127,-0.002966959,0.026101862,0.04724744,0.008813506,0.009897839,0.019653909,0.049774527,0.02694874,0.064093253,0.050612033,0.029036019,0.063707728,1,David Goffin,Robin Haase,28/05/2018,G,1.14,5.5,1.13,5,1.14,5.5,1.16,6.28,1.17,6.28,1.15,5.52
2,-2.76522929,-209,634,0.01528245,-0.023364605,-0.003270815,0.021068002,-0.004875514,0.004043729,0.002570499,0.024340226,-0.014209435,-0.001084521,-0.007720542,-0.00454622,4.26E-05,-0.000470502,0.026834516,-0.022902664,-0.003479067,0.022793675,-0.003806071,0.004868727,0.003840748,0.025662278,-0.016304525,-0.000169809,-0.007068684,-0.00447631,0.000327608,0.000661734,-0.003438287,-0.005960036,-0.003676812,-0.001443729,-0.00397588,-0.002199957,1,Federico Delbonis,Thomaz Bellucci,28/05/2018,G,1.53,2.5,1.47,2.5,1.53,2.5,1.53,2.71,1.58,2.71,1.51,2.56
,-1.95482546,-22,144,-0.049462283,-0.080770798,-0.010934563,0.105173974,-0.076680597,-0.078973341,-0.05490774,-0.058608345,0.093558291,0.020599326,0.040029064,0.009069996,0.008712871,-0.011206602,-0.049462283,-0.080770798,-0.010934563,0.105173974,-0.076680597,-0.078973341,-0.05490774,-0.058608345,0.093558291,0.020599326,0.040029064,0.009069996,0.008712871,-0.011206602,-0.002008896,-0.056081271,-0.038944277,-0.002008896,-0.056081271,-0.038944277,1,Marco Cecchinato,Marius Copil,28/05/2018,G,1.4,2.75,1.4,2.75,1.44,2.75,1.48,2.86,1.48,3,1.44,2.8
5,1.81519507,37,-550,-0.213168902,-0.035552761,0.021276321,-0.005916533,-0.03848123,-0.063218317,-0.050067796,-0.063832583,0.086321725,0.0066722,0.006905382,0.01219225,-0.000153307,-0.021701561,-0.214924408,-0.036047998,0.021219194,-0.006928698,-0.038340367,-0.062715245,-0.049971792,-0.061794017,0.085478576,0.006136075,0.006342427,0.013052835,-0.000184985,-0.021862753,-0.031652995,-0.03180903,-0.056312935,-0.032257558,-0.032204292,-0.056372819,1,Guillermo Garcia Lopez,Stanislas Wawrinka,28/05/2018,G,2.2,1.66,2.15,1.63,2.1,1.73,2.3,1.69,2.33,1.76,2.22,1.67
,3.87405886,-25,267,-0.025248959,0.053631574,0.009351714,-0.1065613,0.048351733,-0.029846407,-0.010718996,0.000368718,0.029799298,0.023354644,-0.019246369,-0.012679438,0.00160921,-0.005015152,-0.025248959,0.053631574,0.009351714,-0.1065613,0.048351733,-0.029846407,-0.010718996,0.000368718,0.029799298,0.023354644,-0.019246369,-0.012679438,0.00160921,-0.005015152,-0.006204306,0.071706377,-0.049092776,-0.006204306,0.071706377,-0.049092776,1,Benoit Paire,Roberto Carballes Baena,28/05/2018,G,1.4,3,1.36,2.9,1.4,3,1.4,3.22,1.44,3.22,1.38,3.04
,-1.01026694,-174,934,-0.020148469,0.026624693,-0.007777,-0.035531978,0.033056578,0.082332949,0.045076754,-0.083724613,-0.074856706,0.129231874,-0.01562363,-0.041897754,0.023203994,0.031759196,-0.020148469,0.026624693,-0.007777,-0.035531978,0.033056578,0.082332949,0.045076754,-0.083724613,-0.074856706,0.129231874,-0.01562363,-0.041897754,0.023203994,0.031759196,0.102839497,0.162288452,0.066709319,0.102839497,0.162288452,0.066709319,1,Stefanos Tsitsipas,Carlos Taberner,28/05/2018,G,1.14,5.5,1.09,6.2,1.11,6.5,1.11,8.05,1.14,8.5,1.1,7.07
-3,-5.31143053,126,-958,-0.023506818,-0.054330994,0.010260548,-0.023954795,-0.034232673,-0.010542065,-0.031429543,-0.029557857,0.045156835,0.040679386,0.029711748,-0.036578617,0.008470777,0.00171247,-0.024716281,-0.054166441,0.010323302,-0.023737286,-0.034138057,-0.010565567,-0.031324162,-0.029727965,0.044962888,0.040569397,0.02962537,-0.036503428,0.00845792,0.001692146,0.023395015,0.006446712,0.019169683,0.023343803,0.00643134,0.019059802,1,Ernests Gulbis,Gilles Muller,28/05/2018,G,1.4,3,1.4,2.75,1.44,2.75,1.5,2.8,1.5,3,1.43,2.83
,-9.16632444,-374,1124,0.172908647,0.018070792,-0.023434723,0.02610246,0.032191381,0.056356388,0.048714494,0.030661512,-0.073750788,0.01548958,0.02775005,-0.033319207,0.001690892,0.028424265,0.172908647,0.018070792,-0.023434723,0.02610246,0.032191381,0.056356388,0.048714494,0.030661512,-0.073750788,0.01548958,0.02775005,-0.033319207,0.001690892,0.028424265,0.063663729,0.047680961,0.084106438,0.063663729,0.047680961,0.084106438,1,Karen Khachanov,Andreas Haider Maurer,28/05/2018,G,1.06,11,1.05,8.2,1.05,10,1.04,15.92,1.07,15.92,1.04,11.48
