name,128,64,32,16,8,4,2,1
Rafael Nadal,1.0000,0.9568,0.9124,0.8603,0.7830,0.6879,0.5902,0.4036
Roger Federer,1.0000,0.9515,0.9025,0.8461,0.7638,0.6623,0.5523,0.3533
Novak Djokovic,1.0000,0.8757,0.7503,0.6281,0.4575,0.2559,0.1145,0.0520
Marcelo Arevalo,1.0000,0.8129,0.6224,0.4071,0.2353,0.1300,0.0700,0.0376
Grigor Dimitrov,1.0000,0.8542,0.7138,0.5810,0.4190,0.2633,0.1216,0.0375
Alexander Zverev,1.0000,0.8414,0.7021,0.5699,0.4075,0.2567,0.1084,0.0344
Marin Cilic,1.0000,0.8235,0.6743,0.5276,0.3708,0.2197,0.0843,0.0299
Andy Murray,1.0000,0.8303,0.6867,0.5426,0.3187,0.1510,0.0562,0.0214
Nick Kyrgios,1.0000,0.8257,0.6726,0.5297,0.3199,0.1395,0.0540,0.0208
Dominic Thiem,1.0000,0.8070,0.6430,0.4971,0.3396,0.1924,0.0704,0.0194
David Goffin,1.0000,0.8067,0.6389,0.4864,0.3134,0.1631,0.0584,0.0156
Juan Martin Del Potro,1.0000,0.8013,0.6284,0.4747,0.3055,0.1362,0.0439,0.0132
Milos Raonic,1.0000,0.8042,0.6435,0.4823,0.2412,0.0902,0.0308,0.0113
Jack Sock,1.0000,0.7762,0.5888,0.4300,0.2647,0.1159,0.0349,0.0097
Jo Wilfried Tsonga,1.0000,0.7721,0.5826,0.4221,0.2353,0.0885,0.0270,0.0092
Stanislas Wawrinka,1.0000,0.7682,0.5700,0.4036,0.2449,0.1056,0.0308,0.0082
Sam Querrey,1.0000,0.7453,0.5420,0.3758,0.2070,0.0799,0.0233,0.0074
Kevin Anderson,1.0000,0.7632,0.5669,0.4050,0.2428,0.1026,0.0299,0.0073
Tomas Berdych,1.0000,0.7554,0.5458,0.3825,0.1718,0.0618,0.0164,0.0061
John Isner,1.0000,0.7389,0.5371,0.3742,0.1822,0.0638,0.0198,0.0047
Lucas Pouille,1.0000,0.7327,0.5078,0.3397,0.1491,0.0487,0.0126,0.0046
Kei Nishikori,1.0000,0.7436,0.5470,0.3729,0.1534,0.0508,0.0146,0.0043
Felix Auger Aliassime,1.0000,0.6505,0.3768,0.1821,0.0921,0.0379,0.0111,0.0042
Miomir Kecmanovic,1.0000,0.6150,0.3337,0.1338,0.0437,0.0175,0.0063,0.0037
Pablo Carreno Busta,1.0000,0.6974,0.4659,0.2972,0.1558,0.0552,0.0134,0.0033
Corentin Moutet,1.0000,0.6228,0.3589,0.1794,0.0789,0.0250,0.0072,0.0028
Oscar Otte,1.0000,0.5758,0.3058,0.1437,0.0589,0.0211,0.0074,0.0026
Roberto Bautista Agut,1.0000,0.7237,0.5257,0.3515,0.1419,0.0435,0.0112,0.0023
Alexey Vatutin,1.0000,0.5557,0.2810,0.1237,0.0437,0.0117,0.0050,0.0020
Richard Gasquet,1.0000,0.7200,0.5019,0.2563,0.0877,0.0265,0.0070,0.0016
Egor Gerasimov,1.0000,0.6632,0.3879,0.1753,0.0658,0.0205,0.0058,0.0016
Carlos Taberner,1.0000,0.5906,0.3450,0.1631,0.0663,0.0213,0.0075,0.0013
Viktor Galovic,1.0000,0.5781,0.2888,0.1087,0.0275,0.0075,0.0025,0.0013
Gael Monfils,1.0000,0.6560,0.3706,0.1719,0.0638,0.0188,0.0040,0.0012
Gilles Muller,1.0000,0.6685,0.4266,0.2444,0.0795,0.0188,0.0040,0.0011
