name,128,64,32,16,8,4,2,1
Rafael Nadal,100.0%,94.92%,89.92%,84.49%,76.73%,67.17%,55.7%,39.51%
Roger Federer,100.0%,94.08999999999999%,88.17%,81.39%,72.37%,61.9%,50.129999999999995%,30.990000000000002%
Alexander Zverev,100.0%,87.47%,76.42999999999999%,65.31%,51.68000000000001%,38.18%,21.59%,8.84%
Marin Cilic,100.0%,85.38%,71.64%,59.019999999999996%,45.35%,31.36%,14.580000000000002%,5.65%
Juan Martin Del Potro,100.0%,84.04%,69.8%,56.599999999999994%,41.49%,26.47%,11.84%,4.33%
Grigor Dimitrov,100.0%,83.07%,68.24%,54.0%,39.04%,24.37%,10.15%,3.6999999999999997%
Novak Djokovic,100.0%,83.46000000000001%,68.99%,54.63%,31.28%,14.87%,6.02%,2.86%
Dominic Thiem,100.0%,81.06%,64.38000000000001%,49.220000000000006%,33.839999999999996%,17.73%,6.92%,2.4%
David Goffin,100.0%,78.66%,60.5%,44.79%,29.09%,13.669999999999998%,4.37%,1.5%
Kevin Anderson,100.0%,77.59%,58.699999999999996%,42.75%,27.3%,13.819999999999999%,4.43%,1.21%
Nick Kyrgios,100.0%,78.60000000000001%,60.3%,44.330000000000005%,21.7%,8.27%,2.92%,1.08%
Milos Raonic,100.0%,79.07%,61.44%,41.36%,19.99%,7.75%,2.74%,1.0%
John Isner,100.0%,74.76%,54.36%,37.82%,22.64%,9.180000000000001%,2.68%,0.74%
Kei Nishikori,100.0%,74.61%,54.17999999999999%,37.69%,18.32%,6.23%,1.92%,0.6799999999999999%
Pablo Carreno Busta,100.0%,71.8%,49.57%,33.19%,18.45%,6.88%,1.95%,0.5599999999999999%
Tomas Berdych,100.0%,73.36%,52.190000000000005%,35.18%,17.599999999999998%,6.2700000000000005%,1.9800000000000002%,0.54%
Hyeon Chung,100.0%,73.87%,52.480000000000004%,35.52%,16.86%,6.069999999999999%,1.7999999999999998%,0.52%
Sam Querrey,100.0%,71.24000000000001%,49.61%,32.190000000000005%,17.5%,6.329999999999999%,1.71%,0.47000000000000003%
Marcelo Arevalo,100.0%,69.89%,44.42%,21.47%,9.47%,3.37%,1.16%,0.47000000000000003%
Roberto Bautista Agut,100.0%,72.72%,51.03%,34.06%,18.45%,6.67%,1.79%,0.41000000000000003%
Lucas Pouille,100.0%,70.54%,48.71%,31.369999999999997%,15.75%,4.67%,1.38%,0.41000000000000003%
Andy Murray,100.0%,68.85%,42.449999999999996%,21.09%,8.86%,2.9899999999999998%,0.96%,0.41000000000000003%
Kyle Edmund,100.0%,71.32%,50.22%,33.379999999999995%,16.689999999999998%,5.79%,1.54%,0.38999999999999996%
