name,128,64,32,16,8,4,2,1
Rafael Nadal,1.0000,0.9248,0.8516,0.7699,0.6598,0.5232,0.3689,0.2208
Roger Federer,1.0000,0.9231,0.8512,0.7751,0.6699,0.5369,0.3719,0.2194
Andy Murray,1.0000,0.9269,0.8537,0.7718,0.6600,0.5226,0.3646,0.2088
Novak Djokovic,1.0000,0.9194,0.8340,0.7517,0.6352,0.4858,0.2986,0.1729
Alexander Zverev,1.0000,0.8505,0.7176,0.5789,0.4248,0.2510,0.1054,0.0385
Stanislas Wawrinka,1.0000,0.8397,0.7001,0.5601,0.4070,0.2539,0.1044,0.0378
Marin Cilic,1.0000,0.8429,0.7039,0.5626,0.4116,0.2235,0.0930,0.0348
Milos Raonic,1.0000,0.8485,0.7141,0.5788,0.4130,0.1918,0.0779,0.0332
Dominic Thiem,1.0000,0.8133,0.6549,0.5049,0.3519,0.1612,0.0564,0.0206
Grigor Dimitrov,1.0000,0.8136,0.6508,0.5039,0.3436,0.1592,0.0577,0.0200
Nick Kyrgios,1.0000,0.8278,0.6682,0.5211,0.2709,0.1053,0.0382,0.0174
Kei Nishikori,1.0000,0.8008,0.6339,0.4847,0.3146,0.1307,0.0439,0.0143
Jo Wilfried Tsonga,1.0000,0.7899,0.6049,0.4551,0.2657,0.0975,0.0316,0.0104
David Goffin,1.0000,0.7673,0.5773,0.4170,0.2314,0.0807,0.0199,0.0069
Tomas Berdych,1.0000,0.7791,0.5989,0.4374,0.1931,0.0632,0.0196,0.0065
Jack Sock,1.0000,0.7493,0.5469,0.3763,0.1705,0.0517,0.0145,0.0053
Gael Monfils,1.0000,0.7629,0.5730,0.3954,0.1556,0.0463,0.0141,0.0052
John Isner,1.0000,0.7514,0.5588,0.3967,0.1964,0.0601,0.0162,0.0043
Juan Martin Del Potro,1.0000,0.7610,0.5670,0.3576,0.1378,0.0436,0.0121,0.0042
Roberto Bautista Agut,1.0000,0.7454,0.5486,0.3771,0.1784,0.0534,0.0151,0.0038
Sam Querrey,1.0000,0.7338,0.5267,0.3497,0.1293,0.0370,0.0100,0.0030
Ricardo Ojeda Lara,1.0000,0.5733,0.2908,0.1267,0.0467,0.0192,0.0083,0.0025
Pablo Carreno Busta,1.0000,0.7162,0.4964,0.3199,0.1371,0.0376,0.0088,0.0024
Oscar Otte,1.0000,0.5748,0.3000,0.1291,0.0522,0.0161,0.0074,0.0022
Ilya Ivashka,1.0000,0.6670,0.3875,0.1625,0.0570,0.0185,0.0065,0.0020
Karen Khachanov,1.0000,0.7052,0.4864,0.2605,0.0827,0.0227,0.0062,0.0020
Dmitry Popko,1.0000,0.6790,0.4110,0.1843,0.0667,0.0190,0.0062,0.0019
Lucas Pouille,1.0000,0.7106,0.4904,0.3133,0.1065,0.0291,0.0075,0.0018
Egor Gerasimov,1.0000,0.6846,0.3998,0.1683,0.0610,0.0224,0.0054,0.0017
David Ferrer,1.0000,0.7024,0.4827,0.2863,0.0953,0.0247,0.0070,0.0016
Kevin Anderson,1.0000,0.7098,0.4899,0.2314,0.0676,0.0188,0.0056,0.0016
Felix Auger Aliassime,1.0000,0.5854,0.3008,0.1300,0.0523,0.0154,0.0054,0.0015
Alexey Vatutin,1.0000,0.5665,0.2953,0.1182,0.0482,0.0176,0.0041,0.0012
