name,128,64,32,16,8,4,2,1
Roger Federer,1.0000,0.9511,0.8949,0.8336,0.7526,0.6514,0.5280,0.3474
Rafael Nadal,1.0000,0.9389,0.8788,0.8161,0.7299,0.6280,0.5027,0.3250
Alexander Zverev,1.0000,0.8773,0.7628,0.6401,0.5065,0.3692,0.2016,0.0859
Marin Cilic,1.0000,0.8688,0.7447,0.6198,0.4854,0.3306,0.1594,0.0706
Juan Martin Del Potro,1.0000,0.8705,0.7474,0.6281,0.4835,0.3406,0.1695,0.0703
Grigor Dimitrov,1.0000,0.8370,0.6896,0.5526,0.4056,0.2439,0.1030,0.0382
Novak Djokovic,1.0000,0.8475,0.7128,0.5797,0.3847,0.1883,0.0816,0.0371
Dominic Thiem,1.0000,0.8158,0.6508,0.5001,0.3482,0.1852,0.0695,0.0220
Kevin Anderson,1.0000,0.7966,0.6330,0.4744,0.3180,0.1561,0.0501,0.0166
Nick Kyrgios,1.0000,0.8069,0.6358,0.4780,0.2681,0.1127,0.0415,0.0164
David Goffin,1.0000,0.7895,0.6117,0.4518,0.2977,0.1313,0.0442,0.0146
John Isner,1.0000,0.7752,0.5852,0.4205,0.2659,0.1117,0.0360,0.0126
Milos Raonic,1.0000,0.7943,0.6225,0.3948,0.1805,0.0677,0.0229,0.0088
Marcelo Arevalo,1.0000,0.7432,0.4632,0.2368,0.1040,0.0384,0.0172,0.0072
Sam Querrey,1.0000,0.7474,0.5431,0.3709,0.2049,0.0724,0.0205,0.0059
Roberto Bautista Agut,1.0000,0.7364,0.5361,0.3621,0.1964,0.0678,0.0183,0.0053
Hyeon Chung,1.0000,0.7340,0.5303,0.3556,0.1507,0.0466,0.0141,0.0042
Egor Gerasimov,1.0000,0.5933,0.3167,0.1367,0.0500,0.0150,0.0067,0.0042
Diego Sebastian Schwartzman,1.0000,0.6981,0.4851,0.3226,0.1704,0.0592,0.0165,0.0040
Jack Sock,1.0000,0.7148,0.5006,0.3393,0.1746,0.0515,0.0137,0.0038
Kyle Edmund,1.0000,0.7062,0.4889,0.3210,0.1471,0.0478,0.0130,0.0036
Tomas Berdych,1.0000,0.7339,0.5287,0.3510,0.1462,0.0478,0.0128,0.0036
Daniel Elahi Galan Riveros,1.0000,0.6741,0.4129,0.1982,0.0782,0.0253,0.0071,0.0035
