name,id,reached
A. Bedene,105379,128
A. De Minaur,200282,128
A. Haider Maurer,104890,
A. Mannarino,105173,128
A. Pavlasek,106361,64
A. Ramos,105077,32
A. Seppi,104312,128
A. Zverev,100644,
B. Coric,106432,32
B. Paire,105332,
B. Tomic,106071,
C. Hemery,123921,128
C. Moutet,144895,
C. Norrie,111815,
C. Ruud,134770,64
C. Taberner,126535,
D. Dzumhur,106000,
D. Ferrer,103970,
D. Goffin,105676,
D. Istomin,104797,
D. Kudla,106045,
D. Lajovic,105583,
D. Medvedev,106421,
D. Sebastian Schwartzman,106043,8
D. Sela,104534,128
D. Shapovalov,133430,64
D. Thiem,106233,
E. Benchetrit,200611,
E. Donskoy,105539,128
E. Gulbis,105208,
E. Ymer,111200,64
F. Delbonis,105643,
F. Fognini,104926,16
F. Lopez,103852,128
F. Mayer,104252,128
F. Tiafoe,126207,
F. Verdasco,104269,
G. Andreozzi,105819,
G. Barrere,106296,
G. Dimitrov,105777,
G. Garcia Lopez,104198,
G. Monfils,104792,
G. Muller,104180,
G. Pella,105550,64
G. Simon,104468,
H. Hurkacz,128034,64
H. Zeballos,104547,64
I. Ivashka,125802,
I. Karlovic,103333,
J. Benneteau,103898,64
J. Chardy,104871,64
J. Donaldson,111577,
J. Duckworth,105902,128
J. Isner,104545,16
J. Kovalik,106075,
J. Lennard Struff,105526,64
J. Martin Del Potro,105223,4
J. Millman,105357,128
J. Munar,144719,
J. Sock,106058,128
J. Sousa,105311,128
J. Thompson,111442,128
J. Vesely,106210,
J. Zopp,105132,32
K. Anderson,104731,16
K. Edmund,106378,32
K. Khachanov,111575,
K. Nishikori,105453,
L. Djere,111513,
L. Mayer,104919,128
L. Pouille,106298,
M. Baghdatis,104571,
M. Basic,105806,128
M. Berrettini,126610,
M. Cecchinato,106065,
M. Cilic,105227,8
M. Copil,105657,
M. Ebden,105051,128
M. Fucsovics,105916,64
M. Janvier,126125,
M. Jaziri,104291,64
M. Klizan,105373,
M. Kukushkin,105062,128
M. Marterer,109739,16
M. Safwat,105633,
M. Trungelliti,105477,
M. Youzhny,104022,128
M. Zverev,104999,32
N. Basilashvili,105932,
N. Djokovic,104925,
N. Jarry,111797,
N. Mahut,103917,128
N. Rubin,111511,128
O. Otte,106214,
P. Andujar,104665,128
P. Carreno Busta,105807,
P. Cuevas,104655,64
P. Gojowczyk,105376,
P. Hugues Herbert,105732,32
P. Kohlschreiber,104259,128
P. Lorenzi,103893,128
P. Polansky,105166,128
R. Albot,105430,
R. Bautista Agut,105138,
R. Bemelmans,105074,64
R. Berankis,105575,
R. Carballes Baena,106148,
R. Dutra Silva,104297,
R. Gasquet,104755,32
R. Haase,104898,
R. Harrison,105992,128
R. Nadal,104745,1
S. Bolelli,104620,128
S. Giraldo,105053,
S. Johnson,105449,32
S. Querrey,105023,
S. Stakhovsky,104660,64
S. Tsitsipas,126774,
S. Wawrinka,104527,
T. Bellucci,105064,
T. Berdych,104607,128
T. Fabbiano,105341,64
T. Harry Fritz,126203,
T. Sandgren,105815,128
V. Pospisil,105577,128
Y. Bhambri,106026,128
Y. Nishioka,106415,
Y. Sugita,105216,128
