2001-580,Australian Open,Hard,Outdoor,128,Grand Slam
2001-741,Nottingham,Grass,Outdoor,32,International
2001-338,Sydney,Hard,Outdoor,32,International
2001-360,Casablanca,Clay,Outdoor,32,International
2001-404,Indian Wells Masters,Hard,,64,
2001-407,Rotterdam,Hard,Indoor,32,International Gold
2001-402,Memphis,Hard,Indoor,48,International Gold
2001-403,Miami Masters,Hard,,96,
2001-560,US Open,Hard,Outdoor,128,Grand Slam
2001-408,Milan,Carpet,Indoor,32,International
2001-409,Atlanta,Clay,Outdoor,32,International
2001-319,Kitzbuhel,Clay,Outdoor,48,International Gold
2001-311,Queen's Club,Grass,,56,
2001-314,Gstaad,Clay,Outdoor,32,International
2001-315,Newport,Grass,Outdoor,32,International
2001-316,Bastad,Clay,Outdoor,32,International
2001-317,Amsterdam,Clay,Outdoor,32,International
2001-520,Roland Garros,Clay,,128,
2001-357,Stuttgart Masters,Hard,,48,
2001-352,Paris Masters,Carpet,,48,
2001-451,Doha,Hard,Outdoor,32,International
2001-359,Bogota,Clay,Outdoor,32,International
2001-891,Chennai,Hard,Outdoor,32,International
2001-890,Shanghai,Hard,Outdoor,32,International
2001-773,Bucharest,Clay,Outdoor,32,International
2001-481,Copenhagen,Hard,Indoor,32,International
2001-416,Rome Masters,Clay,,64,
2001-414,Hamburg Masters,Clay,,64,
2001-410,Monte Carlo Masters,Clay,,64,
2001-419,Indianapolis,Hard,Outdoor,56,International Gold
2001-418,Washington,Hard,Outdoor,56,International Gold
2001-308,Munich,Clay,Outdoor,32,International
2001-301,Auckland,Hard,Outdoor,32,International
2001-306,St. Poelten,Clay,,32,
2001-568,St. Petersburg,Hard,Indoor,32,International
2001-468,Estoril,Clay,Outdoor,32,International
2001-499,Delray Beach,Hard,Outdoor,32,International
2001-496,Marseille,Hard,Indoor,32,International
2001-495,Dubai,Hard,Outdoor,32,International Gold
2001-429,Stockholm,Hard,Indoor,32,International
2001-422,Cincinnati Masters,Hard,,64,
2001-423,Los Angeles,Hard,Outdoor,32,International
2001-421,Canada Masters,Hard,,64,
2001-424,San Jose,Hard,Indoor,32,International
2001-425,Barcelona,Clay,Outdoor,56,International
2001-807,Acapulco,Clay,Outdoor,32,International Gold
2001-339,Adelaide,Hard,Outdoor,32,International
2001-336,Hong Kong,Hard,Outdoor,32,International
2001-337,Vienna,Hard,Indoor,32,International Gold
2001-329,Tokyo,Hard,Outdoor,56,International Gold
2001-328,Basel,Carpet,Indoor,32,International
2001-505,Vina del Mar,Clay,Outdoor,32,International
2001-506,Buenos Aires,Clay,Outdoor,32,International
2001-500,Halle,Grass,Outdoor,32,International
2001-375,Lyon,Carpet,Indoor,32,International Gold
2001-475,Sopot - WS,Clay,,32,
2001-573,Mallorca,Clay,Outdoor,32,International
2001-540,Wimbledon,Grass,Outdoor,128,Grand Slam
2001-717,Houston,Clay,Outdoor,32,International
2001-439,Umag,Clay,Outdoor,32,International
