round,player_2,surface,court,age,atp_ranking,atp_points,name,hand,height,odd,AVG(ace),AVG(df),AVG(svpt),AVG(first_in),AVG(first_won),AVG(second_won),AVG(sv_gms),AVG(bp_saved),AVG(bp_faced)
R32,105051,Hard,Indoor,23.832991102,135,408,"Matthew Ebden",R,188,1.0,5.03508771929825,4.19298245614035,71.7017543859649,43.6140350877193,30.2982456140351,12.859649122807,9.96491228070176,4.21052631578947,7.28070175438596
R32,104500,Hard,Outdoor,25.8863791923,108,526,"Somdev Devvarman",R,180,1.0,2.69387755102041,1.30612244897959,54.3673469387755,32.8877551020408,22.0510204081633,10.6326530612245,8.29591836734694,3.12244897959184,5.36734693877551
R32,105173,Hard,Indoor,23.6440793977,126,454,"Adrian Mannarino",L,183,1.0,4.12727272727273,2.64848484848485,78.3757575757576,47.3757575757576,32.2,15.1393939393939,11.5878787878788,4.35151515151515,7.60606060606061
R128,106071,Grass,Outdoor,19.6769336071,28,1255,"Bernard Tomic",R,193,1.0,5.81818181818182,1.69090909090909,75.0121212121212,49.0848484848485,34.230303030303,13.0424242424242,11.169696969697,3.86666666666667,6.27878787878788
R64,105028,Grass,Outdoor,24.6954140999,106,521,"Jesse Levine",L,175,2.0,4.61971830985915,4.59154929577465,78.3380281690141,46.9859154929577,31.4507042253521,14.9295774647887,11.6760563380282,5.15492957746479,8.45070422535211
R32,104665,Hard,Indoor,26.7460643395,40,950,"Pablo Andujar",R,180,2.0,1.61256544502618,3.21465968586387,74.5183246073298,47.0732984293194,30.1204188481675,13.1937172774869,11.1675392670157,4.3979057591623,7.91623036649215
R16,104545,Hard,Indoor,27.4907597536,11,2565,"John Isner",R,206,1.0,16.6319444444444,2.25925925925926,86.7777777777778,59.5532407407407,46.3564814814815,15.2268518518519,13.5208333333333,2.96296296296296,4.17824074074074
R64,103917,Hard,Outdoor,30.5790554415,60,744,"Nicolas Mahut",R,190,1.0,7.87919463087248,3.68120805369128,80.1040268456376,48.6677852348993,35.6174496644295,15.6879194630872,12.251677852349,3.8758389261745,6.35906040268456
R32,104678,Hard,Outdoor,26.5242984257,30,1255,"Viktor Troicki",R,193,1.0,7.03421052631579,2.34210526315789,71.7763157894737,43.0947368421053,30.9447368421053,13.4605263157895,10.8657894736842,3.97368421052632,6.66842105263158
R16,103997,Hard,Outdoor,30.264202601,78,640,"Lukasz Kubot",R,190,2.0,3.7,3.87368421052632,69.6947368421053,43.6157894736842,29.8578947368421,12.3631578947368,10.7368421052632,3.78947368421053,6.62631578947368
