name,128,64,32,16,8,4,2,1
Novak Djokovic,1.0000,0.9746,0.9477,0.9134,0.8678,0.8040,0.7251,0.4829
Andy Murray,1.0000,0.9725,0.9400,0.9062,0.8570,0.7853,0.6990,0.4283
Marcelo Arevalo,1.0000,0.8854,0.7379,0.5417,0.3592,0.2033,0.1087,0.0546
Milos Raonic,1.0000,0.8907,0.7867,0.6783,0.5503,0.4044,0.1755,0.0518
Kei Nishikori,1.0000,0.8538,0.7180,0.5847,0.4321,0.2754,0.0836,0.0218
Stanislas Wawrinka,1.0000,0.8397,0.6936,0.5501,0.3936,0.2430,0.0741,0.0170
Rafael Nadal,1.0000,0.8488,0.7093,0.5690,0.4179,0.2057,0.0622,0.0160
Gael Monfils,1.0000,0.8171,0.6574,0.5116,0.3541,0.1877,0.0551,0.0145
Nick Kyrgios,1.0000,0.8224,0.6645,0.5072,0.3150,0.1205,0.0312,0.0102
Roger Federer,1.0000,0.8405,0.6922,0.5489,0.3098,0.1143,0.0309,0.0084
Marin Cilic,1.0000,0.8256,0.6633,0.5202,0.3667,0.1866,0.0470,0.0083
Tomas Berdych,1.0000,0.8080,0.6378,0.4839,0.3232,0.1248,0.0290,0.0070
Dominic Thiem,1.0000,0.7990,0.6259,0.4664,0.3046,0.1349,0.0336,0.0065
David Goffin,1.0000,0.7626,0.5718,0.4010,0.2348,0.0822,0.0184,0.0043
Jo Wilfried Tsonga,1.0000,0.7863,0.6039,0.4424,0.2602,0.0915,0.0195,0.0042
Grigor Dimitrov,1.0000,0.7654,0.5682,0.4041,0.2062,0.0635,0.0139,0.0032
Roberto Bautista Agut,1.0000,0.7544,0.5560,0.3833,0.2087,0.0646,0.0137,0.0029
Lucas Pouille,1.0000,0.7045,0.4797,0.3065,0.1316,0.0316,0.0062,0.0019
Marc Polmans,1.0000,0.5545,0.2882,0.1227,0.0391,0.0100,0.0036,0.0018
Marko Tepavac,1.0000,0.5618,0.2855,0.1182,0.0355,0.0136,0.0027,0.0018
Jason Jung,1.0000,0.5438,0.2581,0.1114,0.0281,0.0076,0.0029,0.0014
John Isner,1.0000,0.7477,0.5498,0.3764,0.1555,0.0407,0.0094,0.0013
David Ferrer,1.0000,0.7359,0.5210,0.3362,0.1288,0.0346,0.0068,0.0013
Richard Gasquet,1.0000,0.7436,0.5392,0.3680,0.1566,0.0413,0.0084,0.0012
Vaclav Safranek,1.0000,0.5289,0.2495,0.0884,0.0274,0.0089,0.0032,0.0011
Jack Sock,1.0000,0.7201,0.5049,0.3174,0.1142,0.0279,0.0051,0.0010
Alexander Zverev,1.0000,0.7141,0.4989,0.3018,0.1073,0.0268,0.0051,0.0010
Ivo Karlovic,1.0000,0.6867,0.4553,0.2760,0.0878,0.0185,0.0033,0.0009
