name,128,64,32,16,8,4,2,1
Novak Djokovic,100.0\%,96.58\%,92.97999999999999\%,89.12\%,84.03\%,76.82\%,66.49000000000001\%,50.18\%
Rafael Nadal,100.0\%,94.38\%,88.51\%,81.73\%,73.61999999999999\%,63.3\%,49.63\%,26.950000000000003\%
Roger Federer,100.0\%,89.92999999999999\%,80.38\%,70.55\%,59.38\%,45.93\%,24.060000000000002\%,9.53\%
Alexander Zverev,100.0\%,88.96\%,78.31\%,67.38\%,54.89000000000001\%,40.839999999999996\%,21.27\%,7.71\%
Dominic Thiem,100.0\%,87.03999999999999\%,74.53\%,61.71\%,48.25\%,31.990000000000002\%,13.139999999999999\%,4.43\%
Juan Martin Del Potro,100.0\%,83.14\%,67.7\%,53.64\%,39.33\%,19.8\%,6.6000000000000005\%,2.1999999999999997\%
Kevin Anderson,100.0\%,80.78999999999999\%,63.51\%,48.06\%,33.81\%,17.66\%,5.779999999999999\%,1.67\%
Kei Nishikori,100.0\%,81.33\%,63.89\%,48.96\%,34.11\%,16.950000000000003\%,5.04\%,1.4500000000000002\%
Milos Raonic,100.0\%,81.73\%,65.28\%,50.519999999999996\%,30.61\%,12.049999999999999\%,3.74\%,1.31\%
Marin Cilic,100.0\%,81.15\%,64.64999999999999\%,49.79\%,33.97\%,14.21\%,4.16\%,1.24\%
Karen Khachanov,100.0\%,78.77\%,59.160000000000004\%,42.84\%,25.56\%,9.030000000000001\%,2.5700000000000003\%,0.7799999999999999\%
Stefanos Tsitsipas,100.0\%,77.46\%,57.36\%,42.05\%,27.22\%,10.47\%,2.83\%,0.76\%
Borna Coric,100.0\%,75.9\%,56.57\%,40.849999999999994\%,21.759999999999998\%,7.3\%,1.97\%,0.63\%
John Isner,100.0\%,76.08\%,57.05\%,40.79\%,25.91\%,9.89\%,2.45\%,0.6\%
Pedja Krstin,100.0\%,78.77\%,56.69\%,35.23\%,16.919999999999998\%,6.54\%,1.6199999999999999\%,0.45999999999999996\%
Nick Kyrgios,100.0\%,75.7\%,56.45\%,32.76\%,13.350000000000001\%,4.06\%,1.02\%,0.33\%
David Goffin,100.0\%,72.44\%,50.739999999999995\%,32.629999999999995\%,12.34\%,3.4299999999999997\%,0.98\%,0.27\%
Gael Monfils,100.0\%,72.89999999999999\%,52.16\%,34.92\%,15.160000000000002\%,4.49\%,1.1199999999999999\%,0.22999999999999998\%
Denis Shapovalov,100.0\%,73.41\%,51.33\%,34.23\%,14.05\%,4.24\%,1.06\%,0.22999999999999998\%
Daniil Medvedev,100.0\%,70.66\%,48.309999999999995\%,31.25\%,16.09\%,4.43\%,0.91\%,0.2\%
Kyle Edmund,100.0\%,70.44\%,47.79\%,29.520000000000003\%,11.379999999999999\%,3.16\%,0.8099999999999999\%,0.19\%
Fabio Fognini,100.0\%,69.04\%,46.379999999999995\%,29.189999999999998\%,15.229999999999999\%,4.3\%,0.8699999999999999\%,0.13999999999999999\%
Felix Auger Aliassime,100.0\%,68.97\%,44.61\%,23.580000000000002\%,7.290000000000001\%,1.78\%,0.38999999999999996\%,0.12\%
Roberto Bautista Agut,100.0\%,69.65\%,47.61\%,30.34\%,11.49\%,2.6599999999999997\%,0.5599999999999999\%,0.1\%
Stanislas Wawrinka,100.0\%,67.29\%,43.09\%,21.65\%,6.4399999999999995\%,1.53\%,0.33\%,0.1\%
Richard Gasquet,100.0\%,60.4\%,32.57\%,14.69\%,4.93\%,0.9299999999999999\%,0.22\%,0.1\%
Diego Sebastian Schwartzman,100.0\%,68.54\%,45.06\%,26.57\%,9.21\%,2.3\%,0.42\%,0.08\%
Andy Murray,100.0\%,56.67\%,27.42\%,10.0\%,2.92\%,0.75\%,0.33\%,0.08\%
Egor Gerasimov,100.0\%,58.830000000000005\%,31.209999999999997\%,11.5\%,3.62\%,0.7100000000000001\%,0.21\%,0.08\%
Lucas Pouille,100.0\%,67.86\%,44.48\%,22.919999999999998\%,6.78\%,1.7399999999999998\%,0.32\%,0.06999999999999999\%
Laslo Djere,100.0\%,63.800000000000004\%,39.01\%,19.64\%,5.41\%,1.1199999999999999\%,0.22\%,0.06999999999999999\%
Cameron Norrie,100.0\%,54.43\%,25.15\%,9.01\%,2.09\%,0.45999999999999996\%,0.15\%,0.06\%
Nicolas Jarry,100.0\%,55.92\%,27.189999999999998\%,9.55\%,2.75\%,0.44999999999999996\%,0.1\%,0.06\%
Sergio Gutierrez Ferrol,100.0\%,48.13\%,19.189999999999998\%,4.9399999999999995\%,0.88\%,0.19\%,0.06\%,0.06\%
