name,128,64,32,16,8,4,2,1
Novak Djokovic,100.0\%,96.58\%,92.98\%,89.12\%,84.03\%,76.82\%,66.49\%,50.18\%
Rafael Nadal,100.0\%,94.38\%,88.51\%,81.73\%,73.62\%,63.3\%,49.63\%,26.95\%
Roger Federer,100.0\%,89.93\%,80.38\%,70.55\%,59.38\%,45.93\%,24.06\%,9.53\%
Alexander Zverev,100.0\%,88.96\%,78.31\%,67.38\%,54.89\%,40.84\%,21.27\%,7.71\%
Dominic Thiem,100.0\%,87.04\%,74.53\%,61.71\%,48.25\%,31.99\%,13.14\%,4.43\%
Juan Martin Del Potro,100.0\%,83.14\%,67.7\%,53.64\%,39.33\%,19.8\%,6.6\%,2.2\%
Kevin Anderson,100.0\%,80.79\%,63.51\%,48.06\%,33.81\%,17.66\%,5.78\%,1.67\%
Kei Nishikori,100.0\%,81.33\%,63.89\%,48.96\%,34.11\%,16.95\%,5.04\%,1.45\%
Milos Raonic,100.0\%,81.73\%,65.28\%,50.52\%,30.61\%,12.05\%,3.74\%,1.31\%
Marin Cilic,100.0\%,81.15\%,64.65\%,49.79\%,33.97\%,14.21\%,4.16\%,1.24\%
Karen Khachanov,100.0\%,78.77\%,59.16\%,42.84\%,25.56\%,9.03\%,2.57\%,0.78\%
Stefanos Tsitsipas,100.0\%,77.46\%,57.36\%,42.05\%,27.22\%,10.47\%,2.83\%,0.76\%
Borna Coric,100.0\%,75.9\%,56.57\%,40.85\%,21.76\%,7.3\%,1.97\%,0.63\%
John Isner,100.0\%,76.08\%,57.05\%,40.79\%,25.91\%,9.89\%,2.45\%,0.6\%
Pedja Krstin,100.0\%,78.77\%,56.69\%,35.23\%,16.92\%,6.54\%,1.62\%,0.46\%
Nick Kyrgios,100.0\%,75.7\%,56.45\%,32.76\%,13.35\%,4.06\%,1.02\%,0.33\%
David Goffin,100.0\%,72.44\%,50.74\%,32.63\%,12.34\%,3.43\%,0.98\%,0.27\%
Gael Monfils,100.0\%,72.9\%,52.16\%,34.92\%,15.16\%,4.49\%,1.12\%,0.23\%
Denis Shapovalov,100.0\%,73.41\%,51.33\%,34.23\%,14.05\%,4.24\%,1.06\%,0.23\%
Daniil Medvedev,100.0\%,70.66\%,48.31\%,31.25\%,16.09\%,4.43\%,0.91\%,0.2\%
Kyle Edmund,100.0\%,70.44\%,47.79\%,29.52\%,11.38\%,3.16\%,0.81\%,0.19\%
Fabio Fognini,100.0\%,69.04\%,46.38\%,29.19\%,15.23\%,4.3\%,0.87\%,0.14\%
Felix Auger Aliassime,100.0\%,68.97\%,44.61\%,23.58\%,7.29\%,1.78\%,0.39\%,0.12\%
Roberto Bautista Agut,100.0\%,69.65\%,47.61\%,30.34\%,11.49\%,2.66\%,0.56\%,0.1\%
Stanislas Wawrinka,100.0\%,67.29\%,43.09\%,21.65\%,6.44\%,1.53\%,0.33\%,0.1\%
Richard Gasquet,100.0\%,60.4\%,32.57\%,14.69\%,4.93\%,0.93\%,0.22\%,0.1\%
Diego Sebastian Schwartzman,100.0\%,68.54\%,45.06\%,26.57\%,9.21\%,2.3\%,0.42\%,0.08\%
Andy Murray,100.0\%,56.67\%,27.42\%,10.0\%,2.92\%,0.75\%,0.33\%,0.08\%
Egor Gerasimov,100.0\%,58.83\%,31.21\%,11.5\%,3.62\%,0.71\%,0.21\%,0.08\%
Lucas Pouille,100.0\%,67.86\%,44.48\%,22.92\%,6.78\%,1.74\%,0.32\%,0.07\%
Laslo Djere,100.0\%,63.8\%,39.01\%,19.64\%,5.41\%,1.12\%,0.22\%,0.07\%
Cameron Norrie,100.0\%,54.43\%,25.15\%,9.01\%,2.09\%,0.46\%,0.15\%,0.06\%
Nicolas Jarry,100.0\%,55.92\%,27.19\%,9.55\%,2.75\%,0.45\%,0.1\%,0.06\%
Sergio Gutierrez Ferrol,100.0\%,48.13\%,19.19\%,4.94\%,0.88\%,0.19\%,0.06\%,0.06\%
Nikoloz Basilashvili,100.0\%,59.79\%,34.64\%,19.24\%,6.38\%,1.41\%,0.32\%,0.05\%
Marco Cecchinato,100.0\%,62.67\%,38.36\%,22.21\%,7.85\%,1.84\%,0.28\%,0.05\%
Ugo Humbert,100.0\%,59.16\%,30.06\%,10.91\%,3.31\%,0.91\%,0.14\%,0.05\%
Jozef Kovalik,100.0\%,39.6\%,13.85\%,3.2\%,0.4\%,0.05\%,0.05\%,0.05\%
Gianluca Mager,100.0\%,56.42\%,29.29\%,12.17\%,4.21\%,1.25\%,0.33\%,0.04\%
Alex De Minaur,100.0\%,63.66\%,39.09\%,20.05\%,5.57\%,1.14\%,0.25\%,0.04\%
Marton Fucsovics,100.0\%,62.46\%,38.08\%,16.02\%,4.05\%,1.01\%,0.29\%,0.03\%
Guido Pella,100.0\%,65.34\%,40.9\%,22.38\%,7.0\%,1.48\%,0.27\%,0.03\%
