name,128,64,32,16,8,4,2,1
Rafael Nadal,1.0000,0.9515,0.9048,0.8515,0.7802,0.6932,0.5692,0.4116
Roger Federer,1.0000,0.9287,0.8579,0.7807,0.6769,0.5553,0.4084,0.2173
Novak Djokovic,1.0000,0.8947,0.7997,0.7033,0.5756,0.4200,0.2299,0.1159
Juan Martin Del Potro,1.0000,0.8808,0.7634,0.6507,0.5205,0.3774,0.2078,0.0869
Alexander Zverev,1.0000,0.8602,0.7287,0.6063,0.4678,0.3242,0.1490,0.0595
Marin Cilic,1.0000,0.8448,0.7057,0.5737,0.4348,0.2589,0.1085,0.0449
Kevin Anderson,1.0000,0.8221,0.6703,0.5306,0.3816,0.2331,0.0939,0.0310
Dominic Thiem,1.0000,0.8103,0.6379,0.4887,0.3311,0.1503,0.0540,0.0191
Grigor Dimitrov,1.0000,0.8091,0.6433,0.4937,0.3344,0.1614,0.0547,0.0184
David Goffin,1.0000,0.8012,0.6198,0.4524,0.3054,0.1294,0.0411,0.0144
John Isner,1.0000,0.7696,0.5829,0.4214,0.2621,0.1049,0.0302,0.0108
Milos Raonic,1.0000,0.8119,0.6379,0.4721,0.2298,0.0875,0.0290,0.0091
Nick Kyrgios,1.0000,0.7852,0.6081,0.3966,0.1789,0.0697,0.0229,0.0088
Kei Nishikori,1.0000,0.7484,0.5406,0.3704,0.1667,0.0543,0.0158,0.0052
Stefanos Tsitsipas,1.0000,0.7231,0.5162,0.3500,0.1736,0.0583,0.0169,0.0039
Pablo Carreno Busta,1.0000,0.6906,0.4613,0.2854,0.1482,0.0435,0.0126,0.0035
Roberto Bautista Agut,1.0000,0.7239,0.4992,0.3336,0.1493,0.0453,0.0124,0.0034
Kyle Edmund,1.0000,0.7199,0.5038,0.3283,0.1632,0.0478,0.0118,0.0033
Ugo Humbert,1.0000,0.5995,0.3341,0.1514,0.0677,0.0241,0.0100,0.0032
Borna Coric,1.0000,0.7071,0.4935,0.3207,0.1377,0.0435,0.0123,0.0029
Hyeon Chung,1.0000,0.7246,0.5140,0.3439,0.1411,0.0409,0.0096,0.0029
Denis Shapovalov,1.0000,0.6945,0.4765,0.2793,0.1001,0.0296,0.0078,0.0028
Diego Sebastian Schwartzman,1.0000,0.7081,0.4923,0.3152,0.1593,0.0451,0.0109,0.0026
Karen Khachanov,1.0000,0.7304,0.5219,0.3212,0.1270,0.0375,0.0089,0.0025
Jack Sock,1.0000,0.6942,0.4687,0.3015,0.1356,0.0392,0.0100,0.0024
Lucas Pouille,1.0000,0.6996,0.4702,0.2914,0.1327,0.0403,0.0086,0.0020
Richard Gasquet,1.0000,0.7017,0.4832,0.2956,0.1084,0.0268,0.0076,0.0018
Fabio Fognini,1.0000,0.6503,0.4017,0.2300,0.0996,0.0243,0.0048,0.0017
Jo Wilfried Tsonga,1.0000,0.6113,0.3239,0.1313,0.0436,0.0125,0.0041,0.0014
Damir Dzumhur,1.0000,0.6468,0.4068,0.2280,0.0756,0.0205,0.0038,0.0012
Tomas Berdych,1.0000,0.5968,0.3136,0.1210,0.0385,0.0095,0.0027,0.0009
Gilles Simon,1.0000,0.5261,0.2398,0.0876,0.0247,0.0047,0.0016,0.0008
Sam Querrey,1.0000,0.6545,0.4011,0.1952,0.0629,0.0151,0.0036,0.0007
Gael Monfils,1.0000,0.6360,0.3560,0.1658,0.0546,0.0143,0.0034,0.0007
Daniil Medvedev,1.0000,0.5646,0.2786,0.1005,0.0298,0.0067,0.0015,0.0007
Kamil Majchrzak,1.0000,0.5941,0.2959,0.1171,0.0429,0.0088,0.0041,0.0006
Andrey Rublev,1.0000,0.5968,0.3117,0.1295,0.0402,0.0101,0.0027,0.0006
Scott Griekspoor,1.0000,0.5114,0.2252,0.0781,0.0310,0.0086,0.0033,0.0005
Lloyd George Muirhead Harris,1.0000,0.5790,0.2900,0.0971,0.0295,0.0095,0.0029,0.0005
Filip Krajinovic,1.0000,0.6315,0.3754,0.1665,0.0444,0.0092,0.0023,0.0005
Fernando Verdasco,1.0000,0.6243,0.3816,0.1700,0.0479,0.0091,0.0023,0.0005
Philipp Kohlschreiber,1.0000,0.6239,0.3714,0.1569,0.0422,0.0083,0.0018,0.0005
Peter Gojowczyk,1.0000,0.5360,0.2370,0.0836,0.0182,0.0046,0.0013,0.0005
Tomislav Brkic,1.0000,0.4890,0.1940,0.0495,0.0105,0.0025,0.0010,0.0005
Matteo Berrettini,1.0000,0.5577,0.2648,0.0982,0.0278,0.0063,0.0017,0.0004
Felix Auger Aliassime,1.0000,0.5282,0.2285,0.0741,0.0183,0.0038,0.0008,0.0004
Alex De Minaur,1.0000,0.5487,0.2528,0.0919,0.0240,0.0060,0.0018,0.0003
Marco Cecchinato,1.0000,0.5902,0.3382,0.1724,0.0523,0.0117,0.0017,0.0003
Ilya Ivashka,1.0000,0.5522,0.2584,0.0922,0.0250,0.0060,0.0016,0.0003
Jeremy Chardy,1.0000,0.5230,0.2198,0.0801,0.0196,0.0043,0.0010,0.0003
Mischa Zverev,1.0000,0.4972,0.2030,0.0621,0.0153,0.0032,0.0007,0.0003
Mirza Basic,1.0000,0.4389,0.1586,0.0345,0.0064,0.0010,0.0005,0.0003
Steve Johnson,1.0000,0.6212,0.3611,0.1536,0.0454,0.0096,0.0022,0.0002
Adrian Mannarino,1.0000,0.5912,0.3393,0.1473,0.0414,0.0080,0.0018,0.0002
Nicolas Jarry,1.0000,0.5708,0.2789,0.1016,0.0281,0.0064,0.0010,0.0002
Leonardo Mayer,1.0000,0.5232,0.2380,0.0895,0.0230,0.0035,0.0007,0.0002
Guido Pella,1.0000,0.4882,0.1991,0.0537,0.0143,0.0025,0.0006,0.0002
Alexandr Dolgopolov,1.0000,0.5099,0.2198,0.0667,0.0159,0.0033,0.0008,0.0001
Marius Copil,1.0000,0.5199,0.2275,0.0676,0.0177,0.0034,0.0007,0.0001
Martin Klizan,1.0000,0.4645,0.1787,0.0506,0.0102,0.0020,0.0007,0.0001
Ryan Harrison,1.0000,0.4998,0.2019,0.0569,0.0110,0.0022,0.0006,0.0001
Benoit Paire,1.0000,0.4862,0.1949,0.0551,0.0127,0.0027,0.0003,0.0001
Marcos Baghdatis,1.0000,0.4788,0.1908,0.0528,0.0134,0.0021,0.0003,0.0001
Robin Haase,1.0000,0.4735,0.1908,0.0529,0.0116,0.0020,0.0003,0.0001
Denis Istomin,1.0000,0.4662,0.1780,0.0457,0.0098,0.0019,0.0003,0.0001
