name,128,64,32,16,8,4,2,1
Andy Murray,1.0000,0.9504,0.8985,0.8418,0.7579,0.6442,0.4988,0.3389
Novak Djokovic,1.0000,0.9266,0.8471,0.7646,0.6549,0.5152,0.3293,0.1842
Rafael Nadal,1.0000,0.9207,0.8431,0.7623,0.6495,0.5046,0.3385,0.1755
Roger Federer,1.0000,0.9077,0.8136,0.7185,0.5892,0.4205,0.2316,0.1146
Milos Raonic,1.0000,0.8774,0.7602,0.6383,0.4897,0.2905,0.1292,0.0545
Stanislas Wawrinka,1.0000,0.8502,0.7201,0.5854,0.4308,0.2660,0.1207,0.0429
Marin Cilic,1.0000,0.8488,0.7092,0.5745,0.4223,0.2370,0.0935,0.0322
Marcelo Arevalo,1.0000,0.7988,0.5935,0.3735,0.1971,0.1006,0.0453,0.0253
Kei Nishikori,1.0000,0.8240,0.6658,0.5226,0.3583,0.1636,0.0540,0.0208
Dominic Thiem,1.0000,0.8207,0.6603,0.5217,0.3598,0.1582,0.0571,0.0198
Grigor Dimitrov,1.0000,0.8058,0.6397,0.4832,0.2998,0.1118,0.0348,0.0118
Jo Wilfried Tsonga,1.0000,0.7952,0.6190,0.4635,0.2959,0.1156,0.0391,0.0114
Alexander Zverev,1.0000,0.8131,0.6438,0.4857,0.2926,0.1036,0.0337,0.0108
Nick Kyrgios,1.0000,0.8263,0.6585,0.5016,0.2261,0.0757,0.0243,0.0106
Gael Monfils,1.0000,0.7903,0.6055,0.4515,0.2158,0.0694,0.0231,0.0080
David Goffin,1.0000,0.7862,0.6009,0.4417,0.2392,0.0802,0.0218,0.0072
Tomas Berdych,1.0000,0.7946,0.6171,0.4486,0.2465,0.0852,0.0239,0.0068
Dmitry Popko,1.0000,0.6837,0.4188,0.1787,0.0681,0.0238,0.0088,0.0056
Roberto Bautista Agut,1.0000,0.7323,0.5310,0.3561,0.1300,0.0383,0.0089,0.0035
Juan Martin Del Potro,1.0000,0.7617,0.5760,0.3091,0.1122,0.0315,0.0095,0.0032
Felix Auger Aliassime,1.0000,0.6058,0.3183,0.1433,0.0592,0.0208,0.0050,0.0025
Jack Sock,1.0000,0.7596,0.5569,0.3864,0.1600,0.0447,0.0102,0.0024
Lucas Pouille,1.0000,0.7378,0.5211,0.3502,0.1563,0.0453,0.0110,0.0023
Marc Polmans,1.0000,0.5765,0.2978,0.1278,0.0517,0.0170,0.0061,0.0022
Pablo Carreno Busta,1.0000,0.7068,0.4868,0.3112,0.1154,0.0278,0.0058,0.0020
Richard Gasquet,1.0000,0.7360,0.5301,0.3091,0.1005,0.0267,0.0064,0.0019
Sam Querrey,1.0000,0.7127,0.4926,0.2670,0.0830,0.0214,0.0049,0.0016
John Isner,1.0000,0.7413,0.5311,0.3475,0.1210,0.0326,0.0072,0.0015
Egor Gerasimov,1.0000,0.6685,0.3740,0.1510,0.0490,0.0130,0.0040,0.0015
Sebastian Ofner,1.0000,0.5610,0.2930,0.1140,0.0420,0.0135,0.0040,0.0010
Ricardo Ojeda Lara,1.0000,0.5491,0.2436,0.0927,0.0291,0.0045,0.0045,0.0009
Ivo Karlovic,1.0000,0.6848,0.4426,0.2616,0.0766,0.0189,0.0031,0.0009
Gleb Sakharov,1.0000,0.5004,0.2304,0.0778,0.0226,0.0061,0.0022,0.0009
Maxime Janvier,1.0000,0.5464,0.2745,0.0973,0.0273,0.0064,0.0009,0.0009
Ilya Ivashka,1.0000,0.6800,0.3927,0.1712,0.0646,0.0215,0.0065,0.0008
Gilles Muller,1.0000,0.6863,0.4497,0.2442,0.0643,0.0138,0.0035,0.0007
Karen Khachanov,1.0000,0.6976,0.4701,0.2098,0.0615,0.0148,0.0032,0.0007
Oscar Otte,1.0000,0.5819,0.3044,0.1200,0.0425,0.0112,0.0037,0.0006
Daniil Medvedev,1.0000,0.5852,0.2908,0.0991,0.0271,0.0062,0.0014,0.0006
Feliciano Lopez,1.0000,0.6486,0.3988,0.2116,0.0512,0.0101,0.0016,0.0005
Taylor Harry Fritz,1.0000,0.4658,0.1784,0.0411,0.0084,0.0021,0.0005,0.0005
Vaclav Safranek,1.0000,0.5722,0.2922,0.1126,0.0343,0.0135,0.0035,0.0004
Borna Coric,1.0000,0.5322,0.2347,0.0757,0.0162,0.0026,0.0009,0.0003
Jiri Vesely,1.0000,0.5540,0.2526,0.0783,0.0191,0.0041,0.0007,0.0003
Pablo Cuevas,1.0000,0.6440,0.4012,0.2136,0.0520,0.0105,0.0016,0.0002
Gilles Simon,1.0000,0.6058,0.3391,0.1178,0.0264,0.0056,0.0011,0.0002
Steve Johnson,1.0000,0.6560,0.4236,0.1880,0.0485,0.0097,0.0010,0.0002
Philipp Kohlschreiber,1.0000,0.5423,0.2401,0.0727,0.0176,0.0038,0.0009,0.0002
Kyle Edmund,1.0000,0.5180,0.2122,0.0594,0.0117,0.0028,0.0009,0.0002
Mischa Zverev,1.0000,0.6224,0.3648,0.1481,0.0299,0.0045,0.0006,0.0002
Viktor Troicki,1.0000,0.5449,0.2491,0.0825,0.0199,0.0043,0.0006,0.0002
Diego Sebastian Schwartzman,1.0000,0.5633,0.2776,0.0909,0.0184,0.0029,0.0006,0.0002
David Ferrer,1.0000,0.5988,0.3110,0.1166,0.0302,0.0070,0.0014,0.0001
Fernando Verdasco,1.0000,0.6213,0.3689,0.1358,0.0324,0.0071,0.0010,0.0001
Fabio Fognini,1.0000,0.5961,0.3366,0.1322,0.0277,0.0038,0.0009,0.0001
Bernard Tomic,1.0000,0.5542,0.2561,0.0753,0.0173,0.0030,0.0006,0.0001
Andrey Kuznetsov,1.0000,0.4950,0.1931,0.0492,0.0104,0.0018,0.0006,0.0001
Nicolas Almagro,1.0000,0.5407,0.2318,0.0649,0.0150,0.0017,0.0003,0.0001
Thomaz Bellucci,1.0000,0.4836,0.1849,0.0475,0.0087,0.0011,0.0003,0.0001
Marcos Baghdatis,1.0000,0.4986,0.2032,0.0512,0.0112,0.0016,0.0002,0.0001
Janko Tipsarevic,1.0000,0.5072,0.1991,0.0537,0.0100,0.0011,0.0002,0.0001
Andrey Rublev,1.0000,0.4846,0.1897,0.0507,0.0087,0.0011,0.0002,0.0001
Taro Daniel,1.0000,0.3978,0.1171,0.0236,0.0027,0.0007,0.0002,0.0001
Nicolas Mahut,1.0000,0.4433,0.1591,0.0355,0.0053,0.0005,0.0002,0.0001
Nicolas Kicker,1.0000,0.4915,0.1898,0.0453,0.0083,0.0010,0.0001,0.0001
Henri Laaksonen,1.0000,0.3947,0.1167,0.0207,0.0023,0.0008,0.0001,0.0001
Thiago Monteiro,1.0000,0.3594,0.0937,0.0150,0.0019,0.0003,0.0001,0.0001
Gastao Elias,1.0000,0.3813,0.1174,0.0225,0.0039,0.0002,0.0001,0.0001
Zdenek Kolar,1.0000,0.5693,0.2720,0.0987,0.0313,0.0113,0.0020,0.0000
Miljan Zekic,1.0000,0.4982,0.2155,0.0745,0.0209,0.0082,0.0018,0.0000
Hyeon Chung,1.0000,0.5878,0.2840,0.0997,0.0276,0.0063,0.0016,0.0000
Kevin Anderson,1.0000,0.5868,0.2768,0.0983,0.0268,0.0058,0.0008,0.0000
Federico Coria,1.0000,0.5162,0.2288,0.0806,0.0200,0.0050,0.0006,0.0000
Yasutaka Uchiyama,1.0000,0.5069,0.2206,0.0688,0.0144,0.0037,0.0006,0.0000
Tim Smyczek,1.0000,0.3250,0.0778,0.0122,0.0011,0.0006,0.0006,0.0000
Ryan Harrison,1.0000,0.4821,0.1826,0.0502,0.0106,0.0027,0.0005,0.0000
Nicolas Jarry,1.0000,0.4095,0.1342,0.0263,0.0063,0.0016,0.0005,0.0000
Alexander Bublik,1.0000,0.4633,0.1714,0.0390,0.0071,0.0010,0.0005,0.0000
Marco Trungelliti,1.0000,0.3400,0.0863,0.0126,0.0021,0.0005,0.0005,0.0000
Vasek Pospisil,1.0000,0.4863,0.1894,0.0464,0.0091,0.0016,0.0004,0.0000
Rajeev Ram,1.0000,0.3135,0.0730,0.0135,0.0013,0.0004,0.0004,0.0000
Alexandr Dolgopolov,1.0000,0.5261,0.2278,0.0664,0.0131,0.0029,0.0003,0.0000
Benoit Paire,1.0000,0.5002,0.2054,0.0576,0.0110,0.0017,0.0003,0.0000
Daniel Evans,1.0000,0.4994,0.2036,0.0509,0.0101,0.0015,0.0003,0.0000
Marius Copil,1.0000,0.4886,0.1959,0.0512,0.0090,0.0014,0.0003,0.0000
Robin Haase,1.0000,0.4942,0.2129,0.0657,0.0146,0.0020,0.0002,0.0000
Aljaz Bedene,1.0000,0.5176,0.2114,0.0587,0.0120,0.0016,0.0002,0.0000
Yoshihito Nishioka,1.0000,0.4855,0.1872,0.0440,0.0080,0.0013,0.0002,0.0000
Jordan Thompson,1.0000,0.4537,0.1607,0.0362,0.0062,0.0011,0.0002,0.0000
Darian King,1.0000,0.4780,0.1729,0.0386,0.0071,0.0010,0.0002,0.0000
Ernesto Escobedo,1.0000,0.4701,0.1722,0.0389,0.0058,0.0010,0.0002,0.0000
Donald Young,1.0000,0.4559,0.1618,0.0427,0.0077,0.0009,0.0002,0.0000
Mikhail Youzhny,1.0000,0.4263,0.1356,0.0269,0.0028,0.0004,0.0002,0.0000
Jeremy Chardy,1.0000,0.5095,0.2097,0.0537,0.0111,0.0018,0.0001,0.0000
