name,128,64,32,16,8,4,2,1,reached
Rafael Nadal,1.0000,0.9514,0.9013,0.8495,0.7811,0.7036,0.6163,0.4360,1
Roger Federer,1.0000,0.9360,0.8751,0.8111,0.7311,0.6424,0.5435,0.3361,absent
Marin Cilic,1.0000,0.8631,0.7346,0.6063,0.4700,0.3406,0.1811,0.0718,8
Grigor Dimitrov,1.0000,0.8355,0.6852,0.5413,0.3979,0.2737,0.1186,0.0399,32
Novak Djokovic,1.0000,0.7750,0.5718,0.3586,0.2086,0.1050,0.0495,0.0241,8
Juan Martin Del Potro,1.0000,0.7787,0.5687,0.3587,0.2027,0.1053,0.0473,0.0213,4
Nick Kyrgios,1.0000,0.7881,0.6163,0.4495,0.2787,0.1331,0.0516,0.0198,absent
Kevin Anderson,1.0000,0.7835,0.5960,0.4384,0.2939,0.1726,0.0653,0.0197,16
Milos Raonic,1.0000,0.8002,0.6299,0.4681,0.2663,0.1217,0.0451,0.0189,absent
David Goffin,1.0000,0.7891,0.6052,0.4498,0.2969,0.1698,0.0574,0.0163,16
Andy Murray,1.0000,0.7233,0.4967,0.3081,0.1484,0.0647,0.0247,0.0108,absent
Kei Nishikori,1.0000,0.7544,0.5521,0.3919,0.2291,0.0984,0.0334,0.0107,16
Tomas Berdych,1.0000,0.7387,0.5300,0.3658,0.2185,0.0947,0.0303,0.0092,128
John Isner,1.0000,0.7488,0.5479,0.3812,0.2357,0.1164,0.0380,0.0091,16
Kyle Edmund,1.0000,0.7208,0.4998,0.3273,0.1890,0.0772,0.0240,0.0074,32
Hyeon Chung,1.0000,0.7359,0.5345,0.3666,0.2141,0.0909,0.0303,0.0072,absent
Pablo Carreno Busta,1.0000,0.7203,0.5110,0.3424,0.2013,0.0933,0.0268,0.0072,32
Sam Querrey,1.0000,0.7224,0.5031,0.3306,0.2034,0.0899,0.0257,0.0067,64
Marcelo Arevalo,1.0000,0.7029,0.4486,0.2432,0.1171,0.0504,0.0161,0.0064,absent
Daniel Elahi Galan Riveros,1.0000,0.7035,0.4476,0.2359,0.1071,0.0459,0.0147,0.0059,absent
Jack Sock,1.0000,0.7171,0.5008,0.3262,0.1860,0.0774,0.0233,0.0057,128
Diego Sebastian Schwartzman,1.0000,0.6953,0.4756,0.3080,0.1722,0.0724,0.0209,0.0053,8
Jo Wilfried Tsonga,1.0000,0.7229,0.5067,0.3154,0.1366,0.0505,0.0144,0.0047,absent
Stanislas Wawrinka,1.0000,0.7175,0.4938,0.3176,0.1615,0.0603,0.0198,0.0045,128
Oscar Otte,1.0000,0.5755,0.3205,0.1455,0.0550,0.0218,0.0086,0.0041,128
Karen Khachanov,1.0000,0.6948,0.4712,0.2705,0.1088,0.0376,0.0119,0.0040,16
Gael Monfils,1.0000,0.6977,0.4756,0.2769,0.1132,0.0374,0.0102,0.0039,32
Denis Shapovalov,1.0000,0.7011,0.4873,0.3097,0.1549,0.0553,0.0162,0.0035,64
Richard Gasquet,1.0000,0.7126,0.4975,0.3155,0.1442,0.0500,0.0137,0.0035,32
Scott Griekspoor,1.0000,0.5612,0.3035,0.1435,0.0588,0.0247,0.0094,0.0035,absent
Zdenek Kolar,1.0000,0.5811,0.3078,0.1339,0.0533,0.0178,0.0050,0.0033,absent
Stefanos Tsitsipas,1.0000,0.6771,0.4528,0.2502,0.1013,0.0316,0.0108,0.0032,64
Philipp Kohlschreiber,1.0000,0.6827,0.4471,0.2764,0.1365,0.0455,0.0112,0.0031,128
Borna Coric,1.0000,0.6821,0.4455,0.2382,0.0937,0.0284,0.0070,0.0029,32
Thiemo De Bakker,1.0000,0.6763,0.4323,0.2622,0.1386,0.0577,0.0147,0.0027,absent
Pedja Krstin,1.0000,0.6333,0.3600,0.1680,0.0653,0.0193,0.0080,0.0027,absent
David Ferrer,1.0000,0.6429,0.3986,0.1965,0.0757,0.0238,0.0061,0.0022,128
Max Purcell,1.0000,0.5968,0.3226,0.1458,0.0589,0.0232,0.0095,0.0021,absent
Damir Dzumhur,1.0000,0.6344,0.3916,0.2231,0.0852,0.0267,0.0077,0.0018,32
Lucas Pouille,1.0000,0.6415,0.3729,0.1648,0.0680,0.0226,0.0067,0.0018,32
Prajnesh Gunneswaran,1.0000,0.5982,0.3082,0.1276,0.0465,0.0159,0.0047,0.0018,absent
Alvaro Raposo De Oliveira,1.0000,0.5767,0.3050,0.1361,0.0533,0.0189,0.0061,0.0017,absent
Filip Krajinovic,1.0000,0.6169,0.3614,0.1972,0.0724,0.0196,0.0047,0.0017,absent
Fabio Fognini,1.0000,0.6491,0.4070,0.2428,0.1190,0.0403,0.0111,0.0016,16
Andrey Rublev,1.0000,0.6549,0.4249,0.2545,0.0974,0.0314,0.0069,0.0016,absent
Fernando Verdasco,1.0000,0.6291,0.3900,0.2105,0.0797,0.0224,0.0053,0.0012,16
Jay Clarke,1.0000,0.5984,0.3321,0.1505,0.0589,0.0216,0.0063,0.0011,absent
Nicolas Jarry,1.0000,0.5795,0.2871,0.1187,0.0424,0.0120,0.0034,0.0010,128
Gilles Muller,1.0000,0.6131,0.3634,0.1856,0.0639,0.0162,0.0037,0.0009,128
Daniil Medvedev,1.0000,0.5425,0.2537,0.1040,0.0340,0.0097,0.0027,0.0009,128
Ernests Gulbis,1.0000,0.4683,0.1839,0.0500,0.0117,0.0030,0.0017,0.0009,64
Egor Gerasimov,1.0000,0.6300,0.3577,0.1469,0.0577,0.0192,0.0038,0.0008,absent
Roberto Bautista Agut,1.0000,0.5267,0.2320,0.0820,0.0253,0.0093,0.0027,0.0007,32
Peter Gojowczyk,1.0000,0.5571,0.2674,0.1169,0.0387,0.0101,0.0020,0.0006,128
Francis Tiafoe,1.0000,0.5593,0.2787,0.1106,0.0348,0.0090,0.0019,0.0005,128
Marton Fucsovics,1.0000,0.5286,0.2394,0.0893,0.0297,0.0087,0.0018,0.0005,64
Kamil Majchrzak,1.0000,0.5400,0.2582,0.0914,0.0291,0.0059,0.0014,0.0005,absent
Roberto Carballes Baena,1.0000,0.5058,0.2284,0.0753,0.0184,0.0058,0.0005,0.0005,128
Aljaz Bedene,1.0000,0.5332,0.2501,0.0907,0.0252,0.0058,0.0019,0.0004,128
Mischa Zverev,1.0000,0.5380,0.2395,0.0900,0.0286,0.0064,0.0014,0.0004,32
Federico Delbonis,1.0000,0.5117,0.2238,0.0749,0.0213,0.0051,0.0019,0.0003,64
Taylor Harry Fritz,1.0000,0.5469,0.2582,0.0959,0.0300,0.0070,0.0012,0.0003,128
Nicolas Kicker,1.0000,0.4462,0.1729,0.0530,0.0145,0.0037,0.0009,0.0003,absent
Nikoloz Basilashvili,1.0000,0.4487,0.1680,0.0494,0.0134,0.0035,0.0005,0.0003,128
